GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,PAYANN_S,EMPAVPW,EMPAVPW_S,HOURS,HOURS_S,PAYANPW,PAYANPW_S,CSTMTOT,CSTMTOT_S,RCPTOT,RCPTOT_S,VALADD,VALADD_S,CEXTOT,CEXTOT_S
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,Number of employees,Relative standard error for estimate of number of employees (%),"Annual payroll ($1,000)",Relative standard error for estimate of annual payroll (%),Production workers average for year,Relative standard error for estimate of production workers average for year (%),"Production workers annual hours (1,000)",Relative standard error for estimate of production workers annual hours (%),"Production workers annual wages ($1,000)",Relative standard error for estimate of production workers annual wages (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials (%),"Total value of shipments and receipts for services ($1,000)",Relative standard error for estimate of total value of shipments and receipts for services (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Total capital expenditures ($1,000)",Relative standard error for estimate of total capital expenditures (%)
0400000US47,47,Tennessee,,31-33,Manufacturing,,2014,290894,0.5,14830035,0.4,215119,0.6,434933,0.7,9084309,0.4,84415790,0.3,145772545,0.3,61095373,0.4,4548853,1.1
0400000US48,48,Texas,,31-33,Manufacturing,,2015,744606,0.5,45046982,0.4,513403,0.5,1066796,0.5,25071999,0.4,343403242,0.2,566355569,0.3,219272263,0.5,18872165,0.5
0400000US48,48,Texas,,31-33,Manufacturing,,2014,756763,0.3,44944948,0.3,526493,0.3,1106844,0.3,25706424,0.3,480374218,0.1,699271135,0.1,217063196,0.2,18580966,0.7
0400000US49,49,Utah,,31-33,Manufacturing,,2015,110077,0.9,6212024,0.7,73957,1.6,148638,1.4,3423635,1.2,25918028,0.6,48645698,0.6,22739290,0.8,2062043,0.8
0400000US49,49,Utah,,31-33,Manufacturing,,2014,106977,0.8,5967331,0.5,71451,1.6,145047,1.2,3242099,1.1,29317504,0.4,51239564,0.5,21880563,0.7,1856155,0.9
0400000US50,50,Vermont,,31-33,Manufacturing,,2015,27409,1.2,1502047,0.7,18646,1.4,37412,1.5,827361,1.0,4387694,1.1,8578908,0.7,4133850,1.1,309493,4.2
0400000US50,50,Vermont,,31-33,Manufacturing,,2014,28244,0.9,1538135,0.5,19025,1.2,39073,1.4,827896,0.9,5043037,1.2,8956523,0.7,3834498,0.9,300663,7.0
0400000US51,51,Virginia,,31-33,Manufacturing,,2015,230428,1.1,12586656,0.6,164875,1.3,334076,1.0,7532392,0.7,44189484,0.8,101654270,0.5,57467969,0.5,2569173,1.7
0400000US51,51,Virginia,,31-33,Manufacturing,,2014,226344,0.8,12437704,0.5,160966,0.8,328328,0.8,7327076,0.6,44554014,0.5,99915510,0.4,55382586,0.5,2424783,1.3
0400000US53,53,Washington,,31-33,Manufacturing,,2015,249709,0.7,16350891,0.5,165678,0.8,340238,0.8,8974775,0.5,78783363,0.4,144902835,0.3,69611107,0.4,2526953,2.0
0400000US53,53,Washington,,31-33,Manufacturing,,2014,247946,0.6,16048904,0.4,165405,0.7,339683,0.7,8925668,0.4,82017315,0.3,146248651,0.3,67871774,0.4,2530451,3.5
0400000US54,54,West Virginia,,31-33,Manufacturing,,2015,44225,8.5,2605009,3.7,31340,11.1,64165,9.3,1599164,5.3,13058752,0.8,24594502,0.4,11536022,0.7,771536,3.0
0400000US54,54,West Virginia,,31-33,Manufacturing,,2014,44359,8.5,2565908,3.7,31589,11.0,64222,9.3,1593400,5.3,14488872,0.7,25803935,0.3,11296920,0.7,849108,1.2
0400000US55,55,Wisconsin,,31-33,Manufacturing,,2015,436696,0.6,23110474,0.5,312467,0.6,639496,0.6,13595280,0.5,95353027,0.3,175957800,0.3,80759019,0.4,5085051,1.6
0400000US55,55,Wisconsin,,31-33,Manufacturing,,2014,428067,0.5,22387548,0.4,308374,0.5,627464,0.6,13149032,0.5,99132538,0.3,181533283,0.2,82959072,0.3,5068642,1.5
0400000US56,56,Wyoming,,31-33,Manufacturing,,2015,9201,1.1,633106,1.5,6734,1.1,14084,1.2,424704,1.7,4836524,0.3,7701571,0.3,2809449,1.1,553984,0.2
0400000US56,56,Wyoming,,31-33,Manufacturing,,2014,9364,0.7,636220,0.7,7039,0.9,14347,0.7,437482,0.8,7278949,0.3,9918113,0.2,2473857,1.2,407958,0.2
