GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,EMPAVPW,PAYANPW,HOURS,CSTMTOT,RCPTOT,VALADD,VALADD_S,CEXTOT,CEXTOT_S
Geographic identifier code,Id2,Geographic area name,Id,2007 NAICS codes and NAICS-based rollup code,Meaning of 2007 NAICS codes and NAICS-based rollup code,Id,Year,Number of paid employees for pay period including March 12,Relative standard error of total number of employees (%),"Annual payroll ($1,000)",Production workers avg per year,"Production workers wages ($1,000)","Production workers hours (1,000)","Total cost of materials ($1,000)","Total value of shipments ($1,000)","Value added ($1,000)",Relative standard error of value added (%),"Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%)
0100000US,,United States,,3149,Other textile product mills,,2010,52104,4,1805481,39034,1089027,74649,4917659,9455654,4535005,2,204463,5
0100000US,,United States,,315,Apparel manufacturing,,2011,95176,3,2655096,75401,1692647,141856,6494543,12860199,6460568,2,199246,2
0100000US,,United States,,315,Apparel manufacturing,,2010,99815,3,2743435,78781,1727871,146646,6726494,13366110,6697112,2,125921,4
0100000US,,United States,,3151,Apparel knitting mills,,2011,13238,5,360200,11167,261173,22052,864276,1851445,1005707,6,50817,4
0100000US,,United States,,3151,Apparel knitting mills,,2010,13833,5,397893,11341,284237,22014,1023399,2129908,1145884,5,28973,8
0100000US,,United States,,3152,Cut and sew apparel manufacturing,,2011,73249,4,2042397,57520,1286592,106748,4965872,9575873,4673845,3,138114,3
0100000US,,United States,,3152,Cut and sew apparel manufacturing,,2010,76856,3,2095340,60255,1296165,111247,5086473,9874997,4802961,3,71733,4
0100000US,,United States,,3159,Apparel accessories and other apparel manufacturing,,2011,8689,3,252499,6714,144881,13056,664395,1432881,781016,2,10314,3
0100000US,,United States,,3159,Apparel accessories and other apparel manufacturing,,2010,9126,3,250202,7185,147469,13385,616622,1361205,748267,2,25215,12
0100000US,,United States,,316,Leather and allied product manufacturing,,2011,26953,2,870001,19986,509157,37419,3217204,5597748,2486987,1,106852,1
0100000US,,United States,,316,Leather and allied product manufacturing,,2010,27174,1,854342,20150,516924,37630,2708048,4952612,2307150,1,97077,3
0100000US,,United States,,3161,Leather and hide tanning and finishing,,2011,3396,1,129565,2638,85447,5385,1385540,1758896,400812,1,16891,2
0100000US,,United States,,3161,Leather and hide tanning and finishing,,2010,3369,1,126037,2630,84425,5419,1126560,1519193,404074,1,21426,1
0100000US,,United States,,3162,Footwear manufacturing,,2011,11400,1,365588,8964,238577,16966,900456,1836725,952197,1,44482,1
0100000US,,United States,,3162,Footwear manufacturing,,2010,11935,1,366689,9449,245939,17293,830544,1780804,930149,1,41453,1
0100000US,,United States,,3169,Other leather and allied product manufacturing,,2011,12156,5,374848,8384,185133,15068,931208,2002127,1133978,2,45479,3
0100000US,,United States,,3169,Other leather and allied product manufacturing,,2010,11870,3,361615,8071,186561,14918,750945,1652615,972926,2,34199,8
0100000US,,United States,,321,Wood product manufacturing,,2011,324870,1,11863331,262744,8363625,518178,41934178,70558453,28710744,1,1802404,3
0100000US,,United States,,321,Wood product manufacturing,,2010,327065,1,11710476,262379,8166756,514093,40891217,69565982,28870547,1,1685956,3
0100000US,,United States,,3211,Sawmills and wood preservation,,2011,73025,2,2912333,61538,2215084,128194,13808294,21613250,7812376,2,628837,5
0100000US,,United States,,3211,Sawmills and wood preservation,,2010,71711,2,2822726,59712,2107314,122998,13503638,21455763,8096678,2,581762,6
0100000US,,United States,,3212,"Veneer, plywood, and engineered wood product manufacturing",,2011,56785,3,2270437,45349,1597393,93134,8674369,13901811,5254865,2,315485,6
0100000US,,United States,,3212,"Veneer, plywood, and engineered wood product manufacturing",,2010,58289,3,2264333,46263,1580847,94503,8358567,13915958,5576447,2,384644,2
0100000US,,United States,,3219,Other wood product manufacturing,,2011,195060,2,6680561,155856,4551148,296850,19451514,35043391,15643503,2,858083,4
0100000US,,United States,,3219,Other wood product manufacturing,,2010,197064,1,6623417,156403,4478595,296592,19029012,34194261,15197421,2,719550,4
0100000US,,United States,,322,Paper manufacturing,,2011,346439,1,19304558,269468,13114087,554886,94348108,175877319,81943847,1,6610503,1
0100000US,,United States,,322,Paper manufacturing,,2010,351435,1,19215337,274350,13136225,563032,91377081,170043386,79016509,1,5754561,1
0100000US,,United States,,3221,"Pulp, paper, and paperboard mills",,2011,107531,1,7571805,85477,5615506,181444,40373758,82274752,41981043,1,3674719,1
0100000US,,United States,,3221,"Pulp, paper, and paperboard mills",,2010,109561,1,7526061,87418,5636051,184387,38649547,79342167,40757769,1,3483161,1
0100000US,,United States,,3222,Converted paper product manufacturing,,2011,238908,1,11732753,183990,7498581,373442,53974350,93602567,39962804,1,2935784,1
0100000US,,United States,,3222,Converted paper product manufacturing,,2010,241875,1,11689276,186932,7500174,378645,52727534,90701219,38258741,1,2271401,3
0100000US,,United States,,323,Printing and related support activities,,2011,456897,1,19727136,324865,12042635,623649,34183403,82706979,48600616,1,2802598,2
0100000US,,United States,,323,Printing and related support activities,,2010,467718,1,20030546,333038,12418932,639781,33206935,82410185,49304673,1,2044479,2
0100000US,,United States,,3231,Printing and related support activities,,2011,456897,1,19727136,324865,12042635,623649,34183403,82706979,48600616,1,2802598,2
0100000US,,United States,,3231,Printing and related support activities,,2010,467718,1,20030546,333038,12418932,639781,33206935,82410185,49304673,1,2044479,2
0100000US,,United States,,324,Petroleum and coal products manufacturing,,2011,98249,1,8722693,65135,5161314,142086,716909469,836812547,126208226,1,10435207,1
0100000US,,United States,,324,Petroleum and coal products manufacturing,,2010,98553,1,8389144,64440,4924766,142124,538127711,627091991,93976876,1,12360781,1
0100000US,,United States,,3241,Petroleum and coal products manufacturing,,2011,98249,1,8722693,65135,5161314,142086,716909469,836812547,126208226,1,10435207,1
0100000US,,United States,,3241,Petroleum and coal products manufacturing,,2010,98553,1,8389144,64440,4924766,142124,538127711,627091991,93976876,1,12360781,1
0100000US,,United States,,325,Chemical manufacturing,,2011,693566,1,49818039,415315,23451904,839396,406686352,776817357,374939703,1,22276892,1
0100000US,,United States,,325,Chemical manufacturing,,2010,696258,1,48526567,410775,22417905,829443,354712255,697812384,349884884,1,17714622,2
0100000US,,United States,,3251,Basic chemical manufacturing,,2011,143213,1,11184559,88362,6249425,181916,169081273,267404383,100274512,1,8413856,1
0100000US,,United States,,3251,Basic chemical manufacturing,,2010,139769,1,10451304,86420,5851099,176728,137980512,226085007,89250813,1,6291852,1
0100000US,,United States,,3252,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",,2011,80219,1,5644566,55065,3296686,112713,74738257,103972032,29900377,1,4188665,1
0100000US,,United States,,3252,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",,2010,80657,1,5304610,55309,3134454,111886,63548759,94925165,32382663,1,2080820,1
0100000US,,United States,,3253,"Pesticide, fertilizer, and other agricultural chemical manufacturing",,2011,27101,2,1682954,17273,964276,36805,18444062,34853112,16883741,3,1240595,2
0100000US,,United States,,3253,"Pesticide, fertilizer, and other agricultural chemical manufacturing",,2010,27283,1,1613627,17851,935582,37746,17132297,31181603,13920057,3,1082641,10
0100000US,,United States,,3254,Pharmaceutical and medicine manufacturing,,2011,221283,1,18223322,113217,6635142,224623,56955610,195732264,139799867,1,4675246,3
0100000US,,United States,,3254,Pharmaceutical and medicine manufacturing,,2010,224684,1,18385881,110879,6348812,223352,54133213,181955349,131757517,1,4870911,6
0100000US,,United States,,3255,"Paint, coating, and adhesive manufacturing",,2011,51387,2,3023238,31245,1406368,63741,18208097,33825464,15705335,2,454975,4
0100000US,,United States,,3255,"Paint, coating, and adhesive manufacturing",,2010,51110,2,2960311,30834,1368571,63026,16112674,31427239,15484947,1,398973,3
0100000US,,United States,,3256,"Soap, cleaning compound, and toilet preparation manufacturing",,2011,88185,2,5243426,57891,2495981,114200,42377090,94361909,52290019,1,2026674,1
0100000US,,United States,,3256,"Soap, cleaning compound, and toilet preparation manufacturing",,2010,90757,2,5127023,57560,2428835,112275,41287922,87134887,46195165,1,1639792,3
0100000US,,United States,,3259,Other chemical product and preparation manufacturing,,2011,82178,2,4815974,52262,2404025,105399,26881963,46668193,20085852,2,1276880,2
0100000US,,United States,,3259,Other chemical product and preparation manufacturing,,2010,81998,2,4683811,51921,2350552,104430,24516878,45103135,20893721,1,1349634,3
0100000US,,United States,,326,Plastics and rubber products manufacturing,,2011,674690,1,29362080,524128,18798118,1053373,113855250,204515134,91723367,1,6925908,1
0100000US,,United States,,326,Plastics and rubber products manufacturing,,2010,664323,1,28493944,514436,18154420,1037532,100519380,188785332,89332039,1,6225020,7
0100000US,,United States,,3261,Plastics product manufacturing,,2011,549644,1,23274326,425910,14672684,852087,87809880,160534077,73600665,1,5579372,1
0100000US,,United States,,3261,Plastics product manufacturing,,2010,543404,1,22653341,419785,14214440,845075,79572241,151291438,72575187,1,4850781,9
0100000US,,United States,,3262,Rubber product manufacturing,,2011,125046,1,6087755,98218,4125434,201286,26045370,43981057,18122702,1,1346536,2
0100000US,,United States,,3262,Rubber product manufacturing,,2010,120919,1,5840603,94651,3939980,192458,20947139,37493895,16756852,1,1374239,2
0100000US,,United States,,327,Nonmetallic mineral product manufacturing,,2011,333868,1,15697046,258163,10700264,519685,42449043,92967504,50889836,1,3965741,2
0100000US,,United States,,327,Nonmetallic mineral product manufacturing,,2010,334190,1,15413622,257492,10454064,516515,41096033,90104149,49155946,1,3442364,2
0100000US,,United States,,3271,Clay product and refractory manufacturing,,2011,31487,3,1370601,24313,918746,47672,2895712,7040958,4186650,2,197984,2
0100000US,,United States,,3271,Clay product and refractory manufacturing,,2010,31550,3,1336205,24041,888246,46769,2754710,6880114,4225443,2,182646,3
0100000US,,United States,,3272,Glass and glass product manufacturing,,2011,76342,2,3870518,60417,2695400,123873,9363371,21834312,12647694,2,1446950,2
