GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,INVTOTB,INVTOTB_S,INVFINB,INVFINB_S,INVWIPB,INVWIPB_S,INVMATB,INVMATB_S,CEXTOT,CEXTOT_S,CEXBLD,CEXBLD_S,CEXMCH,CEXMCH_S,CEXMCHA,CEXMCHA_S,CEXMCHC,CEXMCHC_S,CEXMCHO,CEXMCHO_S,BENEFIT,BENEFIT_S,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTMPRT_S,CSTRSL,CSTRSL_S,CSTFU,CSTFU_S,CSTELEC,CSTELEC_S,CSTCNT,CSTCNT_S,ELECPCH,ELECPCH_S,ELECGEN,ELECGEN_S,ELECSLD,ELECSLD_S
Geographic identifier code,Id2,Geographic area name,Id,2007 NAICS codes and NAICS-based rollup code,Meaning of 2007 NAICS codes and NAICS-based rollup code,Id,Year,"Total inventories, end of year ($1,000)","Relative standard error of total inventories, end of year (%)","Finished goods inventories, end of year ($1,000)","Relative standard error of finished goods inventories, end of year (%)","Work-in-process inventories, end of year  ($1,000)","Relative standard error of work-in-process inventories, end of year (%)","Materials and supplies inventories, end of year ($1,000)","Relative standard error of materials and supplies inventories, end of year (%)","Total inventories, beginning of year ($1,000)","Relative standard error of total inventories, beginning of year (%)","Finished goods inventories, beginning of year ($1,000)","Relative standard error of finished goods inventories, beginning of year (%)","Work-in-process inventories, beginning of year ($1,000)","Relative standard error of work-in-process inventories, beginning of year (%)","Materials and supplies inventories, beginning of year ($1,000)","Relative standard error of materials and supplies inventories, beginning of year (%)","Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%),"Capital expenditures on buildings and other structures (new and used) ($1,000)",Relative standard error of capital expenditures on buildings and other structures (new and used) (%),"Capital expenditures on machinery and equipment (new and used) ($1,000)",Relative standard error of capital expenditures on machinery and equipment (new and used) (%),"Capital expenditures on automobiles, trucks, etc. for highway use ($1,000)","Relative standard error of capital expenditures on automobiles, trucks, etc. for highway use (%)","Capital expenditures on computers and peripheral data processing equipment ($1,000)",Relative standard error of capital expenditures on computers and peripheral data processing equipment (%),"Capital expenditures on all other machinery and equipment ($1,000)",Relative standard error of capital expenditures on all other machinery and equipment (%),"Total fringe benefits ($1,000)",Relative standard error of total fringe benefits (%),"Total cost of materials ($1,000)",Relative standard error of total cost of materials (%),"Materials, parts, containers, packaging, etc. used ($1,000)","Relative standard error of materials, parts, containers, packaging, etc. used (%)","Cost of resales ($1,000)",Relative standard error of cost of resales (%),"Cost of purchased fuels ($1,000)",Relative standard error of cost of purchased fuels (%),"Purchased electricity ($1,000)",Relative standard error of purchased electricity (%),"Contract work ($1,000)",Relative standard error of contract work (%),"Quantity of electricity purchased for heat and power (1,000 kWh)",Relative standard error of quantity of electricity purchased for heat and power (%),"Quantity of generated electricity (1,000 kWh)",Relative standard error of quantity of generated electricity (%),"Quantity of electricity sold or transferred (1,000 kWh)",Relative standard error of quantity of electricity sold or transferred (%)
0100000US,,United States,,31-33,Manufacturing,,2011,591670447,1,210356409,1,183190051,1,198123987,1,536646008,1,191721573,1,164439273,1,180485161,1,146651647,1,21760323,1,124891324,1,2629535,1,7275654,2,114986135,1,173704551,1,3240477063,1,2916521678,1,173477116,1,42275939,1,52032153,1,56170177,1,830841149,1,118810929,1,34891402,1
0100000US,,United States,,31-33,Manufacturing,,2010,538939463,1,192377333,1,164759779,1,181802351,1,489587658,1,174596342,1,145074170,1,169917146,1,127639000,1,19430452,1,108208547,1,2213276,1,6413634,2,99581637,1,168033161,1,2782192359,1,2485700376,1,154830264,1,41658205,1,49142022,1,50861492,1,783323300,1,117186170,1,32838188,1
0400000US01,01,Alabama,,31-33,Manufacturing,,2011,10993318,1,3842585,1,2652709,1,4498024,1,10063098,1,3392334,1,2386716,1,4284047,1,3495721,1,593801,3,2901920,1,53774,3,104596,2,2743550,1,3097666,1,70607936,1,64395361,1,2460152,3,1232022,2,1773993,2,746407,3,33162477,2,4290702,1,,
0400000US01,01,Alabama,,31-33,Manufacturing,,2010,10006579,1,3396793,1,2420060,1,4189725,1,8895723,1,3058358,1,2063961,1,3773403,1,3080806,1,359580,1,2721226,1,53477,4,79095,1,2588654,1,3107525,1,65597706,1,59293868,1,2731583,3,1233290,2,1613493,3,725473,3,30348286,4,3701315,1,,
0400000US02,02,Alaska,,31-33,Manufacturing,,2011,813648,5,512239,5,127485,21,173924,4,772607,5,453558,4,152066,17,166983,11,145085,5,24354,4,120731,5,6251,16,3335,7,111145,5,122366,5,6596828,2,5609318,2,827724,2,91723,6,50244,7,17818,12,427339,8,133225,11,,
0400000US02,02,Alaska,,31-33,Manufacturing,,2010,747487,5,434720,3,148872,17,163895,9,659879,6,371876,3,113618,23,174385,10,145080,7,32805,3,112275,9,4448,32,4143,12,103683,10,119369,5,5066034,2,4308347,2,619655,3,70939,4,44880,5,22213,10,368600,6,144423,7,,
0400000US04,04,Arizona,,31-33,Manufacturing,,2011,6052261,1,1793071,2,2326538,1,1932652,2,5566637,1,1790301,2,2026026,1,1750310,2,1368284,4,192794,4,1175490,4,25233,4,73942,3,1076316,5,2375495,1,23165383,1,20856940,1,1227817,3,168139,4,411052,2,501433,5,5277089,2,,,,
0400000US04,04,Arizona,,31-33,Manufacturing,,2010,5629628,1,1801809,2,2056958,1,1770861,2,5179322,1,1546587,2,1988617,1,1644118,3,1098410,4,204604,6,893806,4,23600,12,50859,4,819348,4,2444172,1,21620247,1,19440042,1,1157145,3,172855,5,405231,2,444973,5,5421847,2,,,,
0400000US05,05,Arkansas,,31-33,Manufacturing,,2011,6363323,1,2403478,2,1517637,1,2442208,1,5743953,2,2307017,4,1299019,1,2137917,2,1455228,2,211334,2,1243894,2,29633,9,42039,2,1172222,2,1728108,1,36370977,1,33610338,1,1019392,6,541704,3,893633,1,305911,2,17808402,1,1457132,1,,
0400000US05,05,Arkansas,,31-33,Manufacturing,,2010,5687736,1,2297668,1,1268194,1,2121873,1,5648455,2,2415423,4,1270525,1,1962506,1,1557837,3,148837,19,1409000,2,33436,19,39346,6,1336218,2,1693597,1,33051121,1,30458044,1,967420,5,541159,1,800033,1,284464,2,15308740,1,1443751,1,,
0400000US06,06,California,,31-33,Manufacturing,,2011,71357065,1,27936203,1,25207056,1,18213806,1,66079570,1,25764103,1,23922831,1,16392635,1,13473992,1,2139226,1,11334765,1,252004,2,1164356,1,9918405,1,20127162,1,270278812,1,235721436,1,18676150,1,3098231,1,3983060,1,8799936,3,38300380,1,7133407,1,1351229,5
0400000US06,06,California,,31-33,Manufacturing,,2010,66465720,1,25907001,1,24069433,1,16489286,1,59621038,1,20099878,1,23364929,1,16156231,1,12885903,1,2614615,1,10271289,1,242214,3,1181330,1,8847744,1,19572097,1,230043196,1,198271834,1,16281084,1,2921679,1,3837619,1,8730980,3,36643114,1,7081143,1,1389443,4
0400000US08,08,Colorado,,31-33,Manufacturing,,2011,5213930,2,1801553,3,1773897,1,1638480,3,4801384,1,1747522,6,1571865,1,1481997,4,1440857,2,297106,3,1143751,2,36143,18,94663,2,1012945,2,1591812,1,26191646,1,21531077,1,2627508,5,241577,1,381304,1,1410180,2,5117253,3,18569,1,,
0400000US08,08,Colorado,,31-33,Manufacturing,,2010,4830058,1,1778810,5,1559917,1,1491331,4,4449731,1,1713226,6,1352852,1,1383653,4,1087554,6,179948,33,907606,3,27992,15,84232,2,795383,2,1558057,1,23022414,1,18609318,1,2524762,4,228755,2,357432,1,1302148,2,4980422,3,15369,1,,
0400000US09,09,Connecticut,,31-33,Manufacturing,,2011,7877474,1,2115134,2,3696618,1,2065721,2,7873630,1,2115198,1,3823463,1,1934970,2,1273972,2,174011,2,1099961,2,36647,4,82652,2,980663,2,2827156,1,21936029,1,18966593,1,1425941,4,254310,2,470511,1,818675,4,4144538,2,818270,1,,
0400000US09,09,Connecticut,,31-33,Manufacturing,,2010,7899031,1,2154482,1,3799672,1,1944876,2,7828947,1,2233844,1,3658409,1,1936694,2,1106323,2,224712,4,881611,2,22487,6,75063,2,784061,2,2754006,1,21758777,1,18808380,1,1365333,4,254351,1,488484,1,842229,4,3944093,2,831899,1,,
0400000US10,10,Delaware,,31-33,Manufacturing,,2011,2291913,1,1084510,1,780156,1,427247,1,1775523,1,844597,1,502961,1,427964,1,733009,1,432206,1,300803,3,10882,31,14871,11,275049,2,483582,1,13697991,1,10919838,1,2432415,1,77591,1,187173,4,80974,21,2684520,4,,,,
0400000US10,10,Delaware,,31-33,Manufacturing,,2010,1789465,1,846952,1,509334,1,433179,1,1675393,1,522513,1,744659,1,408221,3,362016,1,56621,1,305394,1,10774,12,18594,8,276027,1,470967,1,14107807,1,11493016,1,2282289,1,86425,1,181701,1,64375,23,2274632,1,,,,
0400000US11,11,District of Columbia,,31-33,Manufacturing,,2011,10005,8,3824,1,2246,22,3935,5,8266,4,3046,1,1610,2,3610,9,5814,1,719,1,5095,1,500,1,446,1,4149,1,9168,22,79169,5,69017,5,1391,1,2009,1,1874,9,4878,11,20975,17,,,,
0400000US11,11,District of Columbia,,31-33,Manufacturing,,2010,9399,8,3338,2,1855,26,4206,5,9353,4,3300,1,1805,2,4247,7,12735,1,4461,1,8274,1,,,,,3682,1,11205,18,79975,5,69487,5,1311,1,1733,1,2102,8,5342,9,22541,16,,,,
0400000US12,12,Florida,,31-33,Manufacturing,,2011,11077056,3,3778729,3,3222329,5,4075998,4,10543373,3,3612368,3,3066965,4,3864040,4,2872430,3,462581,6,2409849,3,58849,4,172739,3,2178261,3,3706174,4,46456577,2,40242966,2,3033665,12,688367,2,959056,3,1532522,3,11593692,4,4238393,1,498020,1
0400000US12,12,Florida,,31-33,Manufacturing,,2010,10638711,3,3652282,3,3070118,4,3916311,4,10296271,3,3561391,2,2970745,5,3764135,3,2555802,5,467950,19,2087852,3,61877,3,161452,4,1864523,3,3594115,2,43154930,2,37767882,2,2346799,7,703801,2,941854,3,1394594,3,10917529,4,4389823,1,381770,1
0400000US13,13,Georgia,,31-33,Manufacturing,,2011,14419066,1,4956554,2,3352503,1,6110010,1,12865506,1,4418128,1,3074739,2,5372640,1,4813599,1,875979,2,3937620,1,63559,4,167693,2,3706369,1,4245244,1,80058647,1,70137632,1,4044569,4,1112703,1,1803062,1,2960681,4,27208454,1,4873833,1,106875,1
0400000US13,13,Georgia,,31-33,Manufacturing,,2010,13005485,1,4464941,1,3108421,1,5432123,1,11830198,1,4358258,1,2552287,1,4919653,1,4188604,2,789624,1,3398980,2,60351,5,250879,27,3087750,2,4154387,1,71813633,1,62897588,1,3657632,4,1116905,1,1666854,1,2474654,5,26165948,1,4804393,1,122499,1
0400000US15,15,Hawaii,,31-33,Manufacturing,,2011,783502,1,385037,2,215602,1,182863,3,626576,1,321457,3,158608,1,146511,3,101253,4,13102,22,88151,3,7390,8,2947,5,77813,4,143136,4,6353328,1,5678616,1,476057,13,123837,1,48675,3,26144,7,177622,3,378990,1,,
0400000US15,15,Hawaii,,31-33,Manufacturing,,2010,629836,2,324609,2,159346,1,145882,6,580125,1,358652,2,84228,1,137245,3,74989,4,9857,20,65132,3,,,,,58178,3,134103,4,5044047,1,4421900,1,474170,7,88590,1,35664,3,23724,6,160200,4,393950,1,,
0400000US16,16,Idaho,,31-33,Manufacturing,,2011,2908842,2,1041650,2,837195,1,1029997,4,2479635,2,985236,3,645447,1,848951,4,858131,1,72454,1,785677,2,15029,15,42457,2,728191,1,641073,2,11703448,1,10056520,1,864660,5,213751,3,263939,1,304578,5,5908235,1,682401,1,,
0400000US16,16,Idaho,,31-33,Manufacturing,,2010,2555324,2,1016182,2,664412,1,874730,4,2370900,2,969424,2,579311,3,822166,4,554711,2,59084,7,495627,2,10670,8,27265,2,457692,2,613190,2,9831731,1,8690541,1,383200,7,227772,2,254912,1,275305,8,5910781,1,665794,1,,
0400000US17,17,Illinois,,31-33,Manufacturing,,2011,27471516,1,10475493,2,7061389,1,9934634,3,24981404,1,9655980,2,6409980,1,8915444,2,7878285,3,1056135,3,6822149,3,146334,2,381729,1,6294086,3,9291497,1,161487170,1,144241022,1,10512766,1,1905041,3,2240536,1,2587805,2,36475122,1,3089294,1,475762,1
0400000US17,17,Illinois,,31-33,Manufacturing,,2010,25145827,1,9709912,2,6412625,1,9023290,2,22181507,1,8890365,2,5045700,2,8245441,2,6684729,1,568697,2,6116032,1,118585,2,333224,2,5664223,1,8717917,1,140001465,1,123087378,1,10572943,1,1863099,3,2227205,1,2250840,2,34145390,1,2904500,1,423927,1
0400000US18,18,Indiana,,31-33,Manufacturing,,2011,24390438,1,8847094,1,6591252,1,8952093,1,21722147,1,7850789,1,5954430,1,7916928,1,4875805,1,545371,2,4330433,1,77993,3,227353,2,4025088,1,7370512,1,133505620,1,123364245,1,4054149,3,1552867,1,2436330,1,2098028,2,42385869,1,2379954,1,,
0400000US18,18,Indiana,,31-33,Manufacturing,,2010,21786457,1,7880147,1,5966595,1,7939715,1,19153599,1,6730206,1,4927948,1,7495445,1,5055996,1,469370,3,4586626,1,75581,3,194956,1,4316089,1,6977601,1,114747846,1,105179532,1,3798780,3,1439627,1,2217022,1,2112885,2,40379649,1,2439393,1,,
0400000US19,19,Iowa,,31-33,Manufacturing,,2011,8638671,1,3357267,1,1856200,1,3425204,1,7714190,1,3305942,1,1566703,1,2841544,3,2256804,1,359725,4,1897079,1,53604,9,107633,3,1735842,1,3153098,1,62872430,1,57342075,1,3044035,2,1101834,1,878300,1,506187,2,18168697,1,1308569,1,,
0400000US19,19,Iowa,,31-33,Manufacturing,,2010,7724332,1,3311461,1,1561513,1,2851358,1,6991263,2,2930574,1,1362790,1,2697899,4,1828080,1,266064,2,1562016,1,34562,6,70215,2,1457239,1,2782876,1,51410437,1,46511714,1,2647422,2,1010757,1,825410,1,415134,3,16185752,1,1342932,1,,
0400000US20,20,Kansas,,31-33,Manufacturing,,2011,9994651,1,3599793,1,3272824,1,3122035,1,8846077,1,3270615,1,2751626,1,2823836,1,2499926,1,718515,1,1781411,1,47914,4,117706,1,1615790,1,2385330,1,53584744,1,48854282,1,3262051,2,418953,2,606960,1,442499,6,9948191,1,29327,1,,
0400000US20,20,Kansas,,31-33,Manufacturing,,2010,8919611,1,3248098,1,2835442,1,2836070,1,8474630,1,3126176,1,2520936,1,2827518,1,1820091,1,547493,1,1272597,1,22551,4,111083,2,1138964,1,2295785,1,50405850,1,45812272,1,3151295,1,437005,2,557400,1,447877,7,9532385,1,,,,
0400000US21,21,Kentucky,,31-33,Manufacturing,,2011,10737073,1,3790502,1,2455058,1,4491514,1,9864478,1,3392967,1,2281307,1,4190205,1,3286126,1,392398,4,2893728,1,50327,4,90543,2,2752858,1,3157797,1,81290700,1,75280629,1,1922442,7,1208218,1,2201019,1,678390,3,43622997,1,394888,1,,
0400000US21,21,Kentucky,,31-33,Manufacturing,,2010,9952790,1,3427551,1,2294176,1,4231063,1,8973142,1,3031349,1,2116601,1,3825192,1,1995073,1,218660,4,1776413,1,57065,8,67044,3,1652305,1,3105315,1,68917133,1,63417580,1,1843141,7,984429,1,2022928,1,649055,4,40211885,1,409864,1,,
0400000US22,22,Louisiana,,31-33,Manufacturing,,2011,14517322,1,6623708,1,3495940,1,4397674,1,14392242,1,6087189,1,3154525,1,5150528,1,3791486,1,351957,1,3439529,1,55138,6,90014,2,3294377,1,2437232,1,209440003,1,192499903,1,11311919,1,3125016,1,1523181,1,979984,1,27230334,1,28249320,1,10347822,1
0400000US22,22,Louisiana,,31-33,Manufacturing,,2010,13832948,1,5824836,1,3088586,1,4919527,1,11938070,1,5052131,1,2700507,1,4185432,1,3746146,1,631444,1,3114702,1,37480,6,98740,1,2978482,1,2304803,1,147871170,1,135237413,1,7154841,2,3164982,1,1470505,1,843429,1,26949434,1,28161091,1,9899246,1
0400000US23,23,Maine,,31-33,Manufacturing,,2011,1801114,1,633275,2,475802,1,692038,2,1641704,1,599433,2,448388,1,593883,2,644424,1,100862,3,543562,1,7555,5,15129,4,520878,1,774341,1,8045609,1,6778858,1,331699,7,409514,1,261066,1,264472,4,3454337,1,4785908,1,1257460,1
0400000US23,23,Maine,,31-33,Manufacturing,,2010,1655826,1,610292,2,446221,1,599312,2,1643939,1,618831,2,452527,1,572581,2,387880,3,43610,4,344269,3,8696,9,12472,6,323101,3,751582,1,7329731,1,6069607,1,358078,8,378664,1,249048,1,274334,3,3002669,1,4236557,1,1464622,1
0400000US24,24,Maryland,,31-33,Manufacturing,,2011,4302429,1,1542174,2,1267273,2,1492982,2,4163498,1,1423912,2,1329528,2,1410059,1,1524558,3,127641,2,1396917,4,23850,8,92713,3,1280353,4,1895756,3,18697245,1,16255398,1,1307895,6,287709,2,383748,1,462494,6,4865002,1,,,,
0400000US24,24,Maryland,,31-33,Manufacturing,,2010,4188734,1,1430193,2,1340052,2,1418489,1,4337105,1,1543583,2,1379082,2,1414440,1,2188499,2,547580,1,1640919,3,19302,4,86303,3,1535314,3,1862403,3,17043429,1,14686326,1,1163399,3,298993,2,417151,1,477560,5,4802824,1,,,,
0400000US25,25,Massachusetts,,31-33,Manufacturing,,2011,10615120,3,3629515,2,2965399,3,4020206,4,9935814,2,3347047,2,2975384,2,3613384,3,3218257,2,432449,4,2785808,2,50520,5,219361,2,2515927,2,4089526,3,35255067,3,30650820,4,2283201,3,419257,4,843953,1,1057837,9,7639367,1,133284,1,14234,4
0400000US25,25,Massachusetts,,31-33,Manufacturing,,2010,10004100,3,3353154,1,2991707,3,3659239,4,9122218,2,3171091,2,2613425,3,3337703,4,2272335,6,350006,6,1922330,6,48991,14,195099,7,1678240,6,3982621,3,34339755,3,29911335,4,2147514,2,407572,4,853260,1,1020074,9,7615312,1,144725,1,11906,2
