GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,INVTOTB,INVTOTB_S,INVFINB,INVFINB_S,INVWIPB,INVWIPB_S,INVMATB,INVMATB_S,CEXTOT,CEXTOT_S,CEXBLD,CEXBLD_S,CEXMCH,CEXMCH_S,CEXMCHA,CEXMCHA_S,CEXMCHC,CEXMCHC_S,CEXMCHO,CEXMCHO_S,BENEFIT,BENEFIT_S,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTMPRT_S,CSTRSL,CSTRSL_S,CSTFU,CSTFU_S,CSTELEC,CSTELEC_S,CSTCNT,CSTCNT_S,ELECPCH,ELECPCH_S,ELECGEN,ELECGEN_S,ELECSLD,ELECSLD_S
Geographic identifier code,Id2,Geographic area name,Id,2007 NAICS codes and NAICS-based rollup code,Meaning of 2007 NAICS codes and NAICS-based rollup code,Id,Year,"Total inventories, end of year ($1,000)","Relative standard error of total inventories, end of year (%)","Finished goods inventories, end of year ($1,000)","Relative standard error of finished goods inventories, end of year (%)","Work-in-process inventories, end of year  ($1,000)","Relative standard error of work-in-process inventories, end of year (%)","Materials and supplies inventories, end of year ($1,000)","Relative standard error of materials and supplies inventories, end of year (%)","Total inventories, beginning of year ($1,000)","Relative standard error of total inventories, beginning of year (%)","Finished goods inventories, beginning of year ($1,000)","Relative standard error of finished goods inventories, beginning of year (%)","Work-in-process inventories, beginning of year ($1,000)","Relative standard error of work-in-process inventories, beginning of year (%)","Materials and supplies inventories, beginning of year ($1,000)","Relative standard error of materials and supplies inventories, beginning of year (%)","Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%),"Capital expenditures on buildings and other structures (new and used) ($1,000)",Relative standard error of capital expenditures on buildings and other structures (new and used) (%),"Capital expenditures on machinery and equipment (new and used) ($1,000)",Relative standard error of capital expenditures on machinery and equipment (new and used) (%),"Capital expenditures on automobiles, trucks, etc. for highway use ($1,000)","Relative standard error of capital expenditures on automobiles, trucks, etc. for highway use (%)","Capital expenditures on computers and peripheral data processing equipment ($1,000)",Relative standard error of capital expenditures on computers and peripheral data processing equipment (%),"Capital expenditures on all other machinery and equipment ($1,000)",Relative standard error of capital expenditures on all other machinery and equipment (%),"Total fringe benefits ($1,000)",Relative standard error of total fringe benefits (%),"Total cost of materials ($1,000)",Relative standard error of total cost of materials (%),"Materials, parts, containers, packaging, etc. used ($1,000)","Relative standard error of materials, parts, containers, packaging, etc. used (%)","Cost of resales ($1,000)",Relative standard error of cost of resales (%),"Cost of purchased fuels ($1,000)",Relative standard error of cost of purchased fuels (%),"Purchased electricity ($1,000)",Relative standard error of purchased electricity (%),"Contract work ($1,000)",Relative standard error of contract work (%),"Quantity of electricity purchased for heat and power (1,000 kWh)",Relative standard error of quantity of electricity purchased for heat and power (%),"Quantity of generated electricity (1,000 kWh)",Relative standard error of quantity of generated electricity (%),"Quantity of electricity sold or transferred (1,000 kWh)",Relative standard error of quantity of electricity sold or transferred (%)
0400000US34,34,New Jersey,,31-33,Manufacturing,,2010,11744737,1,5757328,2,1843552,2,4143857,1,10730455,1,5235317,2,1727876,2,3767262,1,2287767,1,393868,3,1893900,1,47283,4,155298,3,1691318,1,4084318,1,52554985,1,45085146,1,4247191,3,661589,1,1059303,1,1501756,1,10086247,2,667056,1,43667,1
0400000US35,35,New Mexico,,31-33,Manufacturing,,2011,2199602,2,604044,3,1214795,1,380763,4,1406349,2,516007,3,505180,3,385162,3,1188206,1,158178,2,1030029,1,31212,13,69593,1,929224,1,386283,2,10990157,1,9852463,1,763743,2,107063,1,154818,1,112070,8,2654481,1,,,,
0400000US35,35,New Mexico,,31-33,Manufacturing,,2010,1404026,2,520360,3,489130,3,394536,2,1193759,3,453784,3,442534,3,297441,4,1989254,1,485799,1,1503455,1,5572,12,7705,3,1490178,1,335623,2,9741907,1,8644343,1,759824,1,102638,1,132858,1,102244,6,2184206,1,,,,
0400000US36,36,New York,,31-33,Manufacturing,,2011,18961556,1,6521746,1,5225455,1,7214355,1,17878114,1,6210529,1,4810958,1,6856627,2,5291124,1,779673,1,4511451,1,107629,3,434334,1,3969488,2,6596256,1,74468312,1,64013036,1,5713008,2,1039026,1,1513501,1,2189742,2,21813608,1,1011175,1,87339,1
0400000US36,36,New York,,31-33,Manufacturing,,2010,18003964,1,6288162,1,4819790,1,6896013,2,17263477,1,6126131,1,4816206,1,6321140,2,4250134,1,571811,1,3678323,1,75589,4,387782,6,3214951,1,6466483,1,67698246,1,57975131,1,5311412,2,1001336,1,1437018,1,1973348,2,20599142,1,1056502,1,90700,1
0400000US37,37,North Carolina,,31-33,Manufacturing,,2011,19543356,1,7210152,1,4621855,1,7711349,1,17935994,1,6816130,1,3948794,1,7171070,1,4132637,1,649515,2,3483122,1,87928,7,197339,1,3197855,2,5404400,1,98934646,1,84301217,1,11028635,1,932435,1,1590718,1,1081641,3,27355519,1,2175437,1,,
0400000US37,37,North Carolina,,31-33,Manufacturing,,2010,17977247,1,6820903,1,3947153,1,7209192,1,16269833,1,5897384,2,3317665,1,7054784,1,3643578,1,483656,3,3159922,1,56301,3,170461,1,2933161,1,5334214,1,87766157,1,73900703,1,10401745,1,935753,1,1570802,1,957154,4,26601070,1,2201381,1,,
0400000US38,38,North Dakota,,31-33,Manufacturing,,2011,1302776,2,607714,2,159662,3,535399,3,1106040,2,516178,3,139733,3,450129,3,287869,2,34236,1,253633,2,7411,6,7992,5,238230,2,299458,2,9286712,1,8620057,1,370082,2,142491,1,87893,1,66188,2,1535190,1,605980,1,,
0400000US38,38,North Dakota,,31-33,Manufacturing,,2010,1111980,2,512680,3,140776,3,458524,3,966160,2,396777,3,103039,1,466345,3,240892,2,36383,12,204509,1,5932,3,6722,4,191855,1,266083,2,6662340,1,6232693,1,196130,4,116952,1,75588,1,40977,3,1449450,1,573703,1,,
0400000US39,39,Ohio,,31-33,Manufacturing,,2011,29582166,1,11613455,1,5948658,3,12020053,1,26260250,1,9976392,1,5169340,2,11114518,1,7396537,2,902107,2,6494430,2,132721,3,354995,2,6006713,3,10051097,1,176208396,2,158383948,2,9952622,2,1856168,1,2946940,1,3068719,2,50747555,1,1259415,1,515970,1
0400000US39,39,Ohio,,31-33,Manufacturing,,2010,26298079,1,10006955,1,5162958,2,11128166,1,24131826,1,9146145,1,4735661,3,10250021,1,5891031,2,677221,4,5213810,1,101091,3,283630,3,4829090,1,9662743,1,153424722,2,138095145,2,8291680,2,1896878,1,2670346,1,2470672,3,45602078,1,1323608,1,568216,1
0400000US40,40,Oklahoma,,31-33,Manufacturing,,2011,8152781,2,2756534,3,2395328,2,3000919,2,6982822,1,2308824,3,2109361,2,2564637,1,1715311,5,278786,24,1436525,2,49078,4,66888,3,1320559,2,1802323,1,46870267,1,39204848,1,5800224,1,542253,1,526776,3,796166,4,10136589,3,,,,
0400000US40,40,Oklahoma,,31-33,Manufacturing,,2010,7116850,1,2398851,2,2112483,2,2605517,1,6532868,2,2205987,3,1892317,2,2434564,2,1369978,1,210944,2,1159034,1,25968,4,43295,2,1089771,1,1684031,1,38505407,1,31972407,1,4874852,1,593752,1,467710,3,596687,5,9644401,3,,,,
0400000US41,41,Oregon,,31-33,Manufacturing,,2011,6112321,2,2120816,3,1753446,2,2238059,4,5563042,3,1963589,3,1639028,3,1960425,4,1343600,2,161762,4,1181839,2,33745,5,93680,2,1054413,2,2014719,5,22787588,1,19931503,1,1117191,5,396460,2,564974,1,777460,3,10240436,1,308742,4,215241,5
0400000US41,41,Oregon,,31-33,Manufacturing,,2010,5534896,2,1962946,3,1623158,2,1948791,3,5245477,3,2000079,3,1372102,3,1873295,4,1300818,8,197050,26,1103768,5,43338,4,64315,3,996115,6,1982605,5,20860838,2,18215541,2,967063,5,385411,2,537907,1,754915,3,9784933,1,327619,3,214734,5
0400000US42,42,Pennsylvania,,31-33,Manufacturing,,2011,28038554,1,9340358,1,9364446,4,9333749,1,26270791,1,8636449,1,8794498,2,8839845,1,6410916,1,1025942,2,5384973,1,132802,3,381478,2,4870693,1,8752371,1,138135624,1,123246464,1,8298385,2,1814033,1,2349438,1,2427303,2,35596536,1,1549837,1,149408,14
