GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,EMPAVPW,PAYANPW,HOURS,CSTMTOT,RCPTOT,VALADD,VALADD_S,CEXTOT,CEXTOT_S
Geographic identifier code,Id2,Geographic area name,Id,2007 NAICS codes and NAICS-based rollup code,Meaning of 2007 NAICS codes and NAICS-based rollup code,Id,Year,Number of paid employees for pay period including March 12,Relative standard error of total number of employees (%),"Annual payroll ($1,000)",Production workers avg per year,"Production workers wages ($1,000)","Production workers hours (1,000)","Total cost of materials ($1,000)","Total value of shipments ($1,000)","Value added ($1,000)",Relative standard error of value added (%),"Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%)
0100000US,,United States,,31-33,Manufacturing,,2009,11051342,1,534261874,7571032,293250500,14842902,2438427302,4436196105,1978017343,1,130080571,1
0100000US,,United States,,31-33,Manufacturing,,2008,12748361,1,605557693,8863950,343480037,17780810,3205798789,5468093135,2266362722,1,166086112,1
0100000US,,United States,,311,Food manufacturing,,2009,1394190,1,51429282,1091358,34990404,2207805,370067734,628566115,258615414,1,13631824,1
0100000US,,United States,,311,Food manufacturing,,2008,1437197,1,51763614,1114508,35055752,2273594,403529147,649905572,246598252,1,15677607,1
0100000US,,United States,,3111,Animal food manufacturing,,2009,44805,1,2006374,30391,1243619,63046,31687030,49754924,18070799,1,729022,2
0100000US,,United States,,3111,Animal food manufacturing,,2008,46200,1,2012577,31116,1200943,65848,32381601,49590410,17363097,1,1019943,3
0100000US,,United States,,3112,Grain and oilseed milling,,2009,51855,1,2813511,38476,1903611,83029,55478860,86409162,31046666,1,1376850,1
0100000US,,United States,,3112,Grain and oilseed milling,,2008,53468,1,2831375,39660,1897491,86315,64810157,94087138,28838872,1,1338837,1
0100000US,,United States,,3113,Sugar and confectionery product manufacturing,,2009,61082,1,2620817,46953,1803295,92428,13776525,27654266,13784833,1,752386,2
0100000US,,United States,,3113,Sugar and confectionery product manufacturing,,2008,62082,2,2629158,47562,1823691,94714,13602087,26605688,13046887,1,851513,2
0100000US,,United States,,3114,Fruit and vegetable preserving and specialty food manufacturing,,2009,167159,1,6302036,139435,4610336,278850,35818298,64629417,29031924,1,1994323,1
0100000US,,United States,,3114,Fruit and vegetable preserving and specialty food manufacturing,,2008,167590,1,6261097,138562,4480075,281965,35360803,63316525,27961924,1,1970284,2
0100000US,,United States,,3115,Dairy product manufacturing,,2009,131102,1,6095944,94678,4019669,195057,56102753,84579569,28396379,1,2247255,2
0100000US,,United States,,3115,Dairy product manufacturing,,2008,131902,1,5887150,95291,3889062,196089,70268598,97544321,26994736,1,2231060,2
0100000US,,United States,,3116,Animal  slaughtering and processing,,2009,491521,1,15000337,428990,11803707,904994,110457071,164219517,53673855,1,2410614,1
0100000US,,United States,,3116,Animal  slaughtering and processing,,2008,506857,1,15207203,440049,11944569,932674,119727148,169905740,50800272,1,4277929,1
0100000US,,United States,,3117,Seafood product preparation and packaging,,2009,33685,2,1089978,28296,712026,54383,6108437,10538817,4461222,3,221962,8
0100000US,,United States,,3117,Seafood product preparation and packaging,,2008,37252,2,1160227,31774,798736,58627,6023898,10046567,4066471,5,398950,12
