GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,PAYANN_S,BENEFIT,BENEFIT_S,BENHEA,BENHEA_S,BENPEB,BENPEB_S,BENPEC,BENPEC_S,BENOTH,BENOTH_S,EMPAVPW,EMPAVPW_S,HOURS,HOURS_S,PAYANPW,PAYANPW_S,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTMPRT_S,CSTRSL,CSTRSL_S,CSTFU,CSTFU_S,CSTELEC,CSTELEC_S,CSTCNT,CSTCNT_S,ELECPCH,ELECPCH_S,ELECGEN,ELECGEN_S,ELECSLD,ELECSLD_S,RCPTOT,RCPTOT_S,RCPTPLM,RCPTPLM_S,RCPTRAN,RCPTRAN_S,MSCTOT,MSCTOT_S,MSCRSLTT,MSCRSLTT_S,MSCCNTTT,MSCCNTTT_S,MSCOTH,MSCOTH_S,VALADD,VALADD_S,INVTOTB,INVTOTB_S,INVFINB,INVFINB_S,INVWIPB,INVWIPB_S,INVMATB,INVMATB_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,CEXTOT,CEXTOT_S,CEXBLD,CEXBLD_S,CEXMCH,CEXMCH_S,CEXMCHA,CEXMCHA_S,CEXMCHC,CEXMCHC_S,CEXMCHO,CEXMCHO_S,RPTOT,RPTOT_S,RPBLD,RPBLD_S,RPMCH,RPMCH_S,PCHTT,PCHTT_S,PCHTEMP,PCHTEMP_S,PCHCMPQ,PCHCMPQ_S,PCHEXSO,PCHEXSO_S,PCHDAPR,PCHDAPR_S,PCHCSVC,PCHCSVC_S,PCHRPR,PCHRPR_S,PCHRFUS,PCHRFUS_S,PCHADVT,PCHADVT_S,PCHPRTE,PCHPRTE_S,PCHTAX,PCHTAX_S,PCHOEXP,PCHOEXP_S
0100000US,,United States,,32721,Glass and glass product manufacturing,,2015,85899,1.2,4416993,1.0,1529039,1.0,630005,2.0,109834,2.0,171860,1.9,617340,0.7,68290,1.2,138851,1.3,2984310,0.9,10362931,1.1,8650187,1.2,386285,7.5,515407,0.5,729611,0.7,81442,5.8,10372716,0.5,4195,13.8,0,,25517713,0.8,24905619,0.8,2057318,0.0,612094,9.8,539955,8.9,,,46790,11.8,15186075,1.0,3021106,1.1,1550295,1.1,330025,3.0,1140785,1.6,3133155,0.9,1576066,0.7,335549,3.4,1221540,1.5,1401557,1.6,70967,2.8,1330590,1.5,8754,11.0,13586,4.7,1308250,1.5,249713,2.6,165615,4.2,84099,4.6,2668014,3.2,252206,5.6,23422,5.8,10218,5.8,22271,6.0,34162,6.4,435721,2.9,134021,1.4,20033,9.5,141512,4.0,133226,4.9,1461223,3.3
0100000US,,United States,,32721,Glass and glass product manufacturing,,2014,81704,0.9,4252724,0.8,1490567,0.7,609990,0.6,96441,1.5,157967,2.0,626169,1.0,64852,0.8,134387,0.9,2936775,0.7,10364820,1.1,8451666,1.2,395314,7.6,688872,0.2,735112,0.4,93856,4.3,10314412,0.4,4590,16.3,0,,24398201,0.7,23817429,0.7,2112158,0.0,580772,9.7,514765,8.8,,,,,13969249,0.8,3067798,0.7,1615423,0.8,345627,1.3,1106748,1.2,3040606,0.9,1556587,0.9,340331,3.0,1143688,1.3,1209160,1.7,191128,1.3,1018032,1.9,9000,5.3,18368,3.5,990664,1.9,245536,2.5,172093,2.3,73443,4.5,2641197,4.1,253135,4.0,27278,23.6,8735,6.4,19779,6.5,32517,5.2,433831,2.4,120997,1.4,25218,6.3,116542,3.1,127025,4.5,1476141,5.2
0100000US,,United States,,327211,Flat glass manufacturing,,2015,9528,0.0,483394,0.0,175953,0.0,62000,0.0,13483,0.0,33161,0.0,67309,0.0,7379,0.0,15844,0.0,332083,0.0,1561048,0.0,1135709,0.0,117780,0.0,199797,0.0,105544,0.0,2218,0.0,1682523,0.0,0,,0,,3530251,0.0,3389297,0.0,523476,0.0,140954,0.0,137380,0.0,,,,,1945925,0.0,439548,0.0,283273,0.0,26645,0.0,129630,0.0,439259,0.0,262648,0.0,23992,0.0,152619,0.0,175745,0.0,6848,0.0,168897,0.0,827,0.0,2359,0.0,165711,0.0,15496,0.0,8584,0.0,6912,0.0,425850,0.0,27763,0.0,2788,0.0,,,,,5490,0.0,42561,0.0,21136,0.0,4921,0.0,23296,0.0,20325,0.0,274657,0.0
0100000US,,United States,,327211,Flat glass manufacturing,,2014,9218,0.0,457297,0.0,168076,0.0,64940,0.0,11415,0.0,26686,0.0,65035,0.0,7175,0.0,15562,0.0,311569,0.0,1567629,0.0,1109064,0.0,94858,0.0,253097,0.0,108578,0.0,2032,0.0,1712845,0.0,0,,0,,3258503,0.0,3147920,0.0,531349,0.0,110583,0.0,105145,0.0,2134,0.0,3304,0.0,1669923,0.0,460878,0.0,307059,0.0,20907,0.0,132912,0.0,435072,0.0,280521,0.0,26494,0.0,128057,0.0,185068,0.0,51077,0.0,133991,0.0,1026,0.0,886,0.0,132079,0.0,13843,0.0,8418,0.0,5425,0.0,376381,0.0,23803,0.0,2003,0.0,785,0.0,1005,0.0,4748,0.0,43854,0.0,18263,0.0,4995,0.0,9198,0.0,18900,0.0,248827,0.0
0100000US,,United States,,327212,Other pressed and blown glass and glassware manufacturing,,2015,13219,1.3,714479,1.2,253227,1.0,105913,1.8,19052,8.2,22663,2.1,105599,1.6,10930,1.0,22581,0.9,526848,0.7,1181578,7.1,857943,8.9,58687,25.7,113495,2.2,133940,0.4,17513,6.3,2097863,0.4,0,,0,,3657980,2.2,3572652,2.4,384398,0.0,85327,21.4,,,,,,,2458618,3.1,603320,3.0,384582,2.8,86385,8.4,132353,6.0,586094,2.5,372563,1.0,80619,8.0,132911,6.3,289260,0.6,12108,1.3,277153,0.6,107,2.0,1606,29.8,275440,0.5,43622,2.5,30402,4.2,13220,5.8,336332,3.1,41063,2.3,1741,8.9,1248,18.7,6812,4.7,4583,4.9,41192,8.6,35570,2.3,1028,38.7,17952,20.1,14793,4.4,170351,1.5
0100000US,,United States,,327212,Other pressed and blown glass and glassware manufacturing,,2014,13200,1.3,706792,1.3,246178,1.2,107694,1.6,14196,7.5,20623,3.5,103664,1.5,10743,1.0,22166,1.0,516214,0.8,1215127,6.8,863323,8.7,64021,23.7,133647,1.0,132888,0.4,21248,4.4,2097971,0.4,0,,0,,3641377,2.2,3544296,2.4,384992,0.0,97081,18.9,,,,,513,0.0,2431430,2.8,606763,1.2,378749,1.3,102284,3.0,125730,2.6,619882,2.7,395192,2.4,91020,8.0,133670,6.4,202985,1.5,31654,1.1,171332,1.7,214,0.0,2160,9.5,168958,1.7,42437,2.2,31019,3.3,11418,6.7,345637,2.7,39560,2.3,1118,3.3,1152,13.8,5931,0.3,4876,9.2,40739,8.0,31964,1.7,1082,36.1,18316,10.2,16330,4.5,184569,1.4
0100000US,,United States,,327213,Glass container manufacturing,,2015,13115,1.1,828692,0.2,373783,0.1,184346,0.1,58169,0.0,23180,0.1,108088,0.1,11484,1.2,22777,3.6,678030,0.2,1495319,0.1,1100498,0.1,14495,0.0,149941,0.0,215172,0.1,15212,0.4,2990546,0.5,0,,0,,5049458,0.8,5061277,0.8,215103,0.0,,,,,,,,,3575891,1.1,603967,0.9,465135,0.5,3850,0.0,134982,2.3,630077,0.9,486754,0.4,3983,0.0,139339,2.5,458012,2.1,15267,1.9,442744,2.2,9,39.6,975,1.9,441760,2.2,52784,0.5,30119,0.6,22665,0.5,451737,3.8,15425,38.2,949,0.0,,,,,4711,4.9,171106,1.2,17656,0.6,39,0.0,20768,5.0,27324,0.1,192290,4.2
0100000US,,United States,,327213,Glass container manufacturing,,2014,13249,0.8,862352,0.3,372476,0.1,183290,0.1,52515,0.0,21580,0.1,115090,0.1,11528,0.9,23428,2.0,705625,0.2,1620314,0.4,1094937,0.5,26497,0.0,247020,0.0,233298,0.1,18562,3.2,3158559,0.4,0,,0,,5006973,0.6,5005227,0.6,193353,0.0,1746,0.0,,,,,,,3343846,0.8,647936,0.8,501313,0.4,3872,0.0,142750,2.3,596457,0.6,458520,0.3,3852,0.0,134085,1.6,306398,3.6,8685,1.8,297714,3.7,74,19.7,2494,3.3,295146,3.7,50620,0.4,27866,0.5,22754,0.4,490723,3.3,13828,40.4,1427,0.0,366,0.0,949,0.0,4176,5.3,190828,1.0,16514,0.6,136,0.0,15339,6.4,27480,0.1,219681,3.5
0100000US,,United States,,327215,Glass product manufacturing made of purchased glass,,2015,50037,2.0,2390429,1.8,726076,2.1,277746,4.5,19130,7.7,92856,3.5,336344,1.2,38498,2.1,77648,2.1,1447349,1.9,6124987,1.3,5556036,1.3,195323,12.7,52174,2.3,274954,1.9,46499,9.9,3601784,1.3,4195,13.8,0,,13280024,1.5,12882392,1.4,934341,0.0,397632,14.4,311828,14.3,43656,77.3,42148,13.1,7205642,1.7,1374270,2.0,417306,3.2,213144,3.1,743820,2.1,1477725,1.6,454100,2.1,226954,4.1,796670,2.0,478540,4.1,36744,5.2,441797,4.1,7811,12.4,8646,4.8,425339,4.1,137811,4.6,96510,7.0,41301,9.2,1454095,5.7,167955,7.6,17944,7.5,6875,7.9,13172,9.8,19379,11.2,180861,6.7,59659,2.9,14045,13.3,79496,5.4,70784,9.2,823925,5.8
0100000US,,United States,,327215,Glass product manufacturing made of purchased glass,,2014,46037,1.5,2226284,1.4,703837,1.4,254065,1.4,18314,5.4,89078,3.4,342380,1.7,35406,1.4,73231,1.6,1403366,1.5,5961751,1.3,5384342,1.2,209938,12.4,55108,1.8,260348,1.2,52014,7.6,3345037,1.0,4590,16.3,0,,12491348,1.2,12119986,1.3,1002465,0.0,371362,14.3,297765,13.9,,,,,6524051,1.4,1352221,1.6,428302,2.6,218564,1.6,705356,1.8,1389194,1.4,422354,2.5,218964,3.2,747876,1.6,514708,3.3,99712,2.5,414996,3.8,7686,6.2,12829,4.7,394481,3.9,138637,4.4,104790,3.6,33846,9.4,1428456,7.5,175944,4.8,22730,28.3,6433,8.3,11895,10.8,18717,8.7,158410,6.2,54256,3.0,19005,8.1,73688,4.0,64315,8.8,823064,9.3
