GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMPSMAO,EMPSMAO_S,EMPAVPW,PAYABENT,PAYANN,BENEFIT,BENEFIT_S,PAYANPW,HRSTOTM,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTRSL,CSTCNT,CSTFU,CSTFU_S,FUELECT,ELECPCH,CSTELEC,CSTELEC_S,ELECGEN,ELECSLD,VALADDM,VALADDM_S,RCPTOT,RCPTOT_S,RCPTPLM,MSCTOT,MSCRSLTT,MSCCNTTT,MSCOTH,RCPTRAN,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,INVTOTB,INVFINB,INVWIPB,INVMATB,CEXTOT,CEXTOT_S,CEXBLD,CEXMCH,CEXMCHA,CEXMCHC,CEXMCHO
Geographic identifier code,Id2,Geographic area name,Id,NAICS-based,Meaning of NAICS-based,Id,Year,Number of employees,Relative standard error of number of employees,"Production workers, average per year","Total compensation ($1,000)","Annual payroll ($1,000)",Total fringe benefits,Relative standard error of total fringe benefits (percent),"Production workers wages ($1,000)","Production workers hours (1,000)","Total cost of materials ($1,000)","Relative standard error of total cost of materials ($1,000)","Materials, parts, containers, packaging, etc. used ($1,000)","Cost of resales ($1,000)","Contract work ($1,000)","Purchased fuels consumed ($1,000)",Relative standard error of estimate for cost of purchased fuels (percent),"Cost of purchased fuels and electric energy ($1,000)","Quantity of electricity purchased for heat and power (1,000 kWh)","Purchased electricity ($1,000)",Relative standard error of estimate for cost of electricity purchased for heat and power (percent),"Quantity of generated electricity (1,000 kWh)","Quantity of electricity sold or transferred (1,000 kWh)","Value added ($1,000)",Relative standard error of value added,"Total value of shipments ($1,000)",Relative standard error of estimate for total value of shipments (percent),"Value of product shipments ($1,000)","Total miscellaneous receipts ($1,000)","Value of resales ($1,000)","Contract receipts ($1,000)","Other miscellaneous receipts ($1,000)","Value of interplant transfers ($1,000)","Total inventories, end of year ($1,000)",Relative standard error of estimate for total end of year inventories (percent),"Finished goods inventories, end of year ($1,000)",Relative standard error of estimate for EOY finished products inventories (percent),"Work-in-process inventories, end-of-year  ($1,000)",Relative standard error of estimate for EOY work-in-process inventories (percent),"Materials and supplies inventories, end of year ($1,000)","Relative standard error of estimate for EOY materials, supplies, fuels, etc. inventories (percent)","Total inventories, beginning of year ($1,000)","Finished goods inventories, beginning of year ($1,000)","Work-in-process inventories, beginning of year ($1,000)","Materials and supplies inventories, beginning of year ($1,000)","Total capital expenditures (new and used) ($1,000)",Relative standard error of estimate of total capital expenditures (new and used),"Buildings and other structures (new and used) ($1,000)","Capital expenditures on machinery and equipment (new and used) ($1,000)","Capital expenditures on automobiles, trucks, etc. for highway use ($1,000)","Capital expenditures on computers and peripheral data processing equipment ($1,000)","Capital expenditures on all other machinery and equipment ($1,000)"
0100000US,,United States,,3133,Textile & fabric finishing & fabric coating mills,,2006,44098,3,34522,1876022,1505766,370256,2,982697,70288,5566811,4,4815009,211374,123073,239004,2,417355,2847620,178351,4,,,4056100,3,9728294,3,9376388,351906,258904,99931,,1285705,980024,5,416707,7,205365,7,357952,8,1050362,459053,229859,361450,186576,4,27831,158745,1630,11162,145952
0100000US,,United States,,3133,Textile & fabric finishing & fabric coating mills,,2005,48308,2,37799,1994853,1624380,370473,2,1045233,77741,6587437,3,5686379,297016,138855,281786,2,465186,3251672,183400,2,,0,4598047,3,11234524,2,10786461,448063,362699,94989,,2166531,1127605,6,525225,11,234155,6,368224,7,1147119,547431,222447,377241,171062,6,14841,156220,2679,10765,142776
0100000US,,United States,,31331,Textile and fabric finishing mills,,2006,35280,3,28169,1410034,1136068,273966,3,762548,56399,3833565,5,3288791,83744,102748,207666,3,358282,2482685,150616,5,,,3223526,4,7157057,4,6983827,173230,114524,72485,,1237553,630339,7,274169,10,155924,8,200245,13,713710,307937,187365,218409,87871,4,6889,80982,910,5750,74322
0100000US,,United States,,31331,Textile and fabric finishing mills,,2005,39127,3,31219,1530153,1256498,273655,2,821676,63485,4856077,4,4187538,140175,117717,252442,2,410648,2871291,158206,3,,0,3704322,3,8612421,3,8384114,228307,182277,63674,,2097339,787123,8,370692,15,191514,7,224917,11,824066,408105,171365,244597,115446,5,8871,106576,2137,5800,98639
0100000US,,United States,,31331M,Textile and fabric finishing mills,,2006,35280,3,28169,1410034,1136068,273966,3,762548,56399,3833565,5,3288791,83744,102748,207666,3,358282,2482685,150616,5,,,3223526,4,7157057,4,6983827,173230,114524,72485,,1237553,630339,7,274169,10,155924,8,200245,13,713710,307937,187365,218409,87871,4,6889,80982,910,5750,74322
0100000US,,United States,,31331M,Textile and fabric finishing mills,,2005,39127,3,31219,1530153,1256498,273655,2,821676,63485,4856077,4,4187538,140175,117717,252442,2,410648,2871291,158206,3,,0,3704322,3,8612421,3,8384114,228307,182277,63674,,2097339,787123,8,370692,15,191514,7,224917,11,824066,408105,171365,244597,115446,5,8871,106576,2137,5800,98639
0100000US,,United States,,31332,Fabric coating mills,,2006,8818,3,6354,465987,369697,96290,3,220148,13888,1733246,4,1526219,127631,20325,31338,4,59073,364935,27735,6,0,0,832574,3,2571238,3,2392561,178676,144380,27446,6851,48152,349685,6,142538,5,49440,11,157707,8,336652,151116,42494,143042,98705,6,20942,77763,721,5412,71630
0100000US,,United States,,31332,Fabric coating mills,,2005,9181,3,6580,464700,367882,96818,2,223557,14257,1731359,3,1498841,156842,21139,29344,4,54538,380381,25194,6,0,0,893725,3,2622103,3,2402347,219756,180423,31315,8018,69191,340481,5,154533,5,42641,9,143307,8,323053,139326,51082,132645,55616,13,5971,49645,541,4966,44138
0100000US,,United States,,313320,Fabric coating mills,,2006,8818,3,6354,465987,369697,96290,3,220148,13888,1733246,4,1526219,127631,20325,31338,4,59073,364935,27735,6,0,0,832574,3,2571238,3,2392561,178676,144380,27446,6851,48152,349685,6,142538,5,49440,11,157707,8,336652,151116,42494,143042,98705,6,20942,77763,721,5412,71630
0100000US,,United States,,313320,Fabric coating mills,,2005,9181,3,6580,464700,367882,96818,2,223557,14257,1731359,3,1498841,156842,21139,29344,4,54538,380381,25194,6,0,0,893725,3,2622103,3,2402347,219756,180423,31315,8018,69191,340481,5,154533,5,42641,9,143307,8,323053,139326,51082,132645,55616,13,5971,49645,541,4966,44138
0100000US,,United States,,314,Textile product mills,,2006,145507,2,114205,5474654,4407348,1067306,2,2886632,232929,18195141,2,16055399,1330229,318069,233782,2,491444,4696855,257662,2,5819,0,15120934,2,33264437,2,31263060,2001378,1735761,206881,58736,5612545,3389471,4,1583857,4,522381,4,1283234,5,3339088,1494107,561729,1283252,552279,3,62867,489411,12596,41051,435764
0100000US,,United States,,314,Textile product mills,,2005,156063,1,121462,5598676,4581327,1017349,1,3021251,248343,19244870,1,16782913,1591610,366826,242726,2,503520,5467922,260795,2,4950,0,15935055,3,35021877,2,32790804,2231073,2033832,153218,44024,4636577,3506422,4,1586331,3,577991,4,1342101,5,3258164,1468999,538511,1250654,468303,3,43099,425205,10636,29793,384776
0100000US,,United States,,3141,Textile furnishings mills,,2006,74299,2,60408,2784184,2221183,563001,2,1548084,128565,12647839,2,11340927,811989,172700,183448,2,322222,2626326,138774,3,0,0,9353523,3,21916681,2,20812709,1103972,930481,,,4583438,2069090,2,964859,3,365133,3,739098,3,2014434,870645,390730,753059,356599,4,40815,315785,7687,24625,283473
0100000US,,United States,,3141,Textile furnishings mills,,2005,81582,2,64931,2904883,2370450,534433,2,1628821,136163,13483206,1,11903180,1032251,212961,188968,2,334814,3183425,145846,3,0,0,10212059,4,23621729,2,22276888,1344841,1228471,100088,16282,3596136,2148320,2,948859,3,404100,2,795361,2,2020428,925863,369624,724941,277494,2,14876,262618,5531,16083,241005
0100000US,,United States,,31411,Carpet and rug mills,,2006,36397,4,30548,1598413,1247437,350976,3,902820,69881,8540774,3,8061761,129860,86338,163733,2,262814,1894502,99081,4,0,0,6807511,4,15210270,3,14954819,255451,164373,,,4473969,1106381,3,446862,4,217101,4,442417,2,963750,332457,202670,428622,254703,5,29565,225138,4042,15147,205949
0100000US,,United States,,31411,Carpet and rug mills,,2005,38839,3,31536,1587683,1279710,307973,2,920846,68846,8734353,2,8082024,292985,102237,158212,1,257108,2236338,98896,3,0,0,7034312,6,15701190,3,15301037,400153,360324,,,3499626,1026922,3,363571,5,211180,4,452171,3,916465,334953,181501,400010,193906,3,6154,187752,2463,7808,177482
0100000US,,United States,,314110,Carpet and rug mills,,2006,36397,4,30548,1598413,1247437,350976,3,902820,69881,8540774,3,8061761,129860,86338,163733,2,262814,1894502,99081,4,0,0,6807511,4,15210270,3,14954819,255451,164373,,,4473969,1106381,3,446862,4,217101,4,442417,2,963750,332457,202670,428622,254703,5,29565,225138,4042,15147,205949
0100000US,,United States,,314110,Carpet and rug mills,,2005,38839,3,31536,1587683,1279710,307973,2,920846,68846,8734353,2,8082024,292985,102237,158212,1,257108,2236338,98896,3,0,0,7034312,6,15701190,3,15301037,400153,360324,,,3499626,1026922,3,363571,5,211180,4,452171,3,916465,334953,181501,400010,193906,3,6154,187752,2463,7808,177482
0100000US,,United States,,31412,Curtain and linen mills,,2006,37901,3,29860,1185772,973746,212026,3,645263,58684,4107065,2,3279166,682129,86362,19715,4,59408,731823,39693,5,0,0,2546012,3,6706411,2,5857890,848521,766108,83707,,109469,962710,3,517997,4,148032,4,296680,5,1050684,538188,188060,324436,101896,4,11250,90646,3645,9478,77523
0100000US,,United States,,31412,Curtain and linen mills,,2005,42743,2,33395,1317200,1090740,226460,2,707975,67318,4748853,2,3821157,739265,110725,30756,8,77706,947087,46950,6,0,0,3177747,3,7920539,2,6975851,944687,868147,,,96510,1121398,2,585288,3,192920,3,343190,4,1103964,590910,188123,324931,83588,5,8722,74866,3068,8275,63523
0100000US,,United States,,31412M,Curtain and linen mills,,2006,37901,3,29860,1185772,973746,212026,3,645263,58684,4107065,2,3279166,682129,86362,19715,4,59408,731823,39693,5,0,0,2546012,3,6706411,2,5857890,848521,766108,83707,,109469,962710,3,517997,4,148032,4,296680,5,1050684,538188,188060,324436,101896,4,11250,90646,3645,9478,77523
0100000US,,United States,,31412M,Curtain and linen mills,,2005,42743,2,33395,1317200,1090740,226460,2,707975,67318,4748853,2,3821157,739265,110725,30756,8,77706,947087,46950,6,0,0,3177747,3,7920539,2,6975851,944687,868147,,,96510,1121398,2,585288,3,192920,3,343190,4,1103964,590910,188123,324931,83588,5,8722,74866,3068,8275,63523
0100000US,,United States,,3149,Other textile product mills,,2006,71208,2,53797,2690470,2186165,504305,3,1338548,104364,5547302,2,4714472,518239,145369,50333,3,169222,2070529,118888,2,5819,0,5767411,3,11347756,2,10450351,897406,805280,,,1029107,1320381,10,618997,8,157248,13,544136,12,1324653,623462,170999,530193,195679,6,22053,173627,4910,16426,152291
0100000US,,United States,,3149,Other textile product mills,,2005,74481,2,56531,2693794,2210877,482917,2,1392429,112179,5761664,2,4879733,559359,153865,53758,3,168706,2284497,114948,2,4950,0,5722996,2,11400148,2,10513915,886233,805360,53130,27742,1040441,1358102,9,637472,8,173891,12,546740,12,1237736,543136,168886,525713,190809,7,28222,162587,5105,13710,143771
0100000US,,United States,,31491,Textile bag and canvas mills,,2006,25828,4,19089,952151,789490,162661,4,442443,37017,1747922,4,1547315,130612,46972,6800,10,23023,230680,16223,4,4545,0,1939462,4,3690615,4,3462351,228264,188477,,,73089,344055,35,115869,36,42318,47,185867,33,341317,113841,49246,178231,40160,8,1350,38809,1810,4653,32346
0100000US,,United States,,31491,Textile bag and canvas mills,,2005,25790,3,19191,902285,763662,138623,3,443304,38535,1693395,5,1504000,130278,38187,7265,13,20930,240236,13666,4,3480,0,1895829,4,3552128,4,3343608,208520,185784,8454,14282,62018,355447,34,116832,36,51135,40,187480,33,312663,95159,37381,180123,45416,5,6336,39080,2536,4592,31951
0100000US,,United States,,31491M,Textile bag and canvas mills,,2006,25828,4,19089,952151,789490,162661,4,442443,37017,1747922,4,1547315,130612,46972,6800,10,23023,230680,16223,4,4545,0,1939462,4,3690615,4,3462351,228264,188477,,,73089,344055,35,115869,36,42318,47,185867,33,341317,113841,49246,178231,40160,8,1350,38809,1810,4653,32346
0100000US,,United States,,31491M,Textile bag and canvas mills,,2005,25790,3,19191,902285,763662,138623,3,443304,38535,1693395,5,1504000,130278,38187,7265,13,20930,240236,13666,4,3480,0,1895829,4,3552128,4,3343608,208520,185784,8454,14282,62018,355447,34,116832,36,51135,40,187480,33,312663,95159,37381,180123,45416,5,6336,39080,2536,4592,31951
0100000US,,United States,,31499,All other textile product mills,,2006,45380,3,34708,1738319,1396675,341644,3,896105,67348,3799380,2,3167158,387628,98397,43533,3,146199,1839849,102665,3,1274,0,3827949,3,7657141,3,6988000,669141,616803,45440,6899,956018,976326,4,503128,5,114929,6,358269,5,983336,509621,121753,351963,155520,7,20702,134818,3100,11773,119944
0100000US,,United States,,31499,All other textile product mills,,2005,48691,3,37339,1791508,1447215,344293,3,949125,73644,4068269,3,3375733,429081,115679,46493,3,147776,2044261,101283,2,1470,0,3827168,3,7848020,2,7170307,677712,619576,44676,13460,978422,1002655,4,520640,5,122755,5,359260,5,925073,447978,131505,345590,145393,9,21886,123507,2570,9117,111820
0100000US,,United States,,314991,"Rope, cordage, and twine mills",,2006,4181,7,3078,180172,143110,37062,5,81200,5914,414037,5,311062,,,4286,26,14263,127451,9977,9,0,0,420504,5,829707,5,703576,126131,,,,,138252,5,83111,4,20666,8,34476,10,134156,82556,15680,35920,23935,30,5649,18285,300,1597,16388
0100000US,,United States,,314991,"Rope, cordage, and twine mills",,2005,4197,6,2996,174706,139842,34864,4,71546,5701,412580,5,318228,,,2793,17,12059,145033,9266,9,0,0,454220,8,856035,5,733928,122107,,,,,132975,5,80948,4,16211,8,35816,8,124565,68272,17418,38875,27777,22,7756,20021,632,1387,18002
0100000US,,United States,,314992,Tire cord and tire fabric mills,,2006,3587,1,2985,190118,137805,52313,1,105019,6010,763861,1,692778,,,19322,1,63562,916076,44240,1,,0,375072,1,1131755,1,1130464,1291,,0,,,170938,2,84724,2,26744,2,59471,3,153394,77018,29127,47249,14264,2,1873,12391,2,345,12044
0100000US,,United States,,314992,Tire cord and tire fabric mills,,2005,3946,1,3271,225626,155499,70127,1,119054,6676,826379,1,743956,,,19119,1,59493,933212,40374,1,,0,361054,1,1168834,1,1160503,8332,,0,,,153394,1,77018,2,29127,1,47249,2,132267,59173,30229,42865,21728,1,3479,18249,137,482,17630
0100000US,,United States,,314999,All other miscellaneous textile product mills,,2006,37611,4,28645,1368029,1115760,252269,5,709885,55423,2621482,3,2163317,310283,79509,19925,4,68374,796323,48448,5,,0,3032372,4,5695680,4,5153960,541719,491359,,,555864,667135,6,335293,8,67520,10,264322,7,695786,350047,76946,268794,117321,8,13180,104141,2798,9831,91512
0100000US,,United States,,314999,All other miscellaneous textile product mills,,2005,40548,4,31072,1391177,1151875,239302,4,758525,61267,2829310,4,2313549,345069,94467,24581,5,76225,966016,51643,5,,0,3011894,3,5823150,3,5275877,547273,494330,,,515598,716286,5,362674,7,77417,8,276195,6,668241,320533,83858,263850,95888,12,10651,85237,1801,7248,76188
0100000US,,United States,,315,Apparel mfg,,2006,199934,2,155147,6142227,5013187,1129040,2,3038776,288278,14459153,1,8342102,3850335,1961703,125755,6,305014,3141248,179259,3,,0,15967897,1,30324969,1,24108378,6216592,6049618,146441,20533,785240,3865930,2,2200252,3,640056,3,1025622,2,3794720,2116845,647981,1029894,346642,4,95471,251171,10139,43748,197283
0100000US,,United States,,315,Apparel mfg,,2005,217295,2,166485,6237345,5265551,971794,2,3202937,317485,15307508,1,9180474,3540499,2270421,131807,5,316114,3409709,184306,2,,89,16070711,1,31400959,1,25672332,5728627,5477912,229618,21097,1112090,4062031,2,2294336,2,663770,2,1103925,1,4158193,2300936,706509,1150749,465130,4,161066,304064,13484,44191,246390
0100000US,,United States,,3151,Apparel knitting mills,,2006,27413,7,22620,875374,699207,176167,4,495186,43497,2414070,3,1596589,565798,148153,39535,5,103530,1286257,63995,4,0,0,2358601,3,4788009,3,3805125,982883,962800,,,242385,578647,4,296894,4,145434,4,136320,5,568129,295312,150258,122559,57365,12,9796,47568,754,6858,39957
0100000US,,United States,,3151,Apparel knitting mills,,2005,30446,5,25102,965590,769161,196429,3,556423,49933,2415824,3,1726388,447497,138693,41625,4,103245,1298185,61620,3,0,0,2365555,3,4783436,2,4039693,743743,737697,3924,2122,264608,576395,3,293387,4,154121,3,128888,4,565810,289646,147824,128340,73866,10,7992,65874,1453,8778,55643
0100000US,,United States,,31511,Hosiery and sock mills,,2006,21682,4,18305,685213,548081,137132,3,401427,35420,1574554,4,996057,468602,31783,26776,4,78113,1011954,51337,4,0,0,1791295,3,3351210,3,2524769,826441,809313,,,,433424,4,213778,5,115519,4,104127,5,393104,188297,116472,88335,38368,17,5797,32572,705,5238,26628
0100000US,,United States,,31511,Hosiery and sock mills,,2005,23333,2,19605,736516,586795,149721,2,434793,39701,1584677,3,1115857,362700,27286,30223,5,78834,1009639,48611,3,0,0,1750084,3,3314622,2,2710645,603978,601351,1785,842,209705,392231,4,178238,6,121626,3,92368,3,363530,163774,106062,93694,61874,12,6244,55630,1270,7780,46580
0100000US,,United States,,31511M,Hosiery and sock mills,,2006,21682,4,18305,685213,548081,137132,3,401427,35420,1574554,4,996057,468602,31783,26776,4,78113,1011954,51337,4,0,0,1791295,3,3351210,3,2524769,826441,809313,,,,433424,4,213778,5,115519,4,104127,5,393104,188297,116472,88335,38368,17,5797,32572,705,5238,26628
0100000US,,United States,,31511M,Hosiery and sock mills,,2005,23333,2,19605,736516,586795,149721,2,434793,39701,1584677,3,1115857,362700,27286,30223,5,78834,1009639,48611,3,0,0,1750084,3,3314622,2,2710645,603978,601351,1785,842,209705,392231,4,178238,6,121626,3,92368,3,363530,163774,106062,93694,61874,12,6244,55630,1270,7780,46580
0100000US,,United States,,31519,Other apparel knitting mills,,2006,5730,29,4315,190161,151126,39035,15,93759,8076,839515,5,600532,97196,116371,12758,12,25417,274303,12658,12,0,0,567306,9,1436799,6,1280356,156443,153488,1508,1447,,145223,8,83116,6,29914,9,32192,12,175026,107015,33786,34224,18996,9,4000,14997,49,1619,13329
0100000US,,United States,,31519,Other apparel knitting mills,,2005,7113,20,5498,229074,182366,46708,11,121630,10231,831147,5,610531,84797,111408,11402,9,24411,288546,13009,7,0,0,615471,9,1468813,6,1329048,139765,136346,2139,1280,54903,184164,6,115149,4,32495,10,36520,11,202280,125872,41761,34646,11991,8,1748,10243,183,998,9062
0100000US,,United States,,31519M,Other apparel knitting mills,,2006,5730,29,4315,190161,151126,39035,15,93759,8076,839515,5,600532,97196,116371,12758,12,25417,274303,12658,12,0,0,567306,9,1436799,6,1280356,156443,153488,1508,1447,,145223,8,83116,6,29914,9,32192,12,175026,107015,33786,34224,18996,9,4000,14997,49,1619,13329
0100000US,,United States,,31519M,Other apparel knitting mills,,2005,7113,20,5498,229074,182366,46708,11,121630,10231,831147,5,610531,84797,111408,11402,9,24411,288546,13009,7,0,0,615471,9,1468813,6,1329048,139765,136346,2139,1280,54903,184164,6,115149,4,32495,10,36520,11,202280,125872,41761,34646,11991,8,1748,10243,183,998,9062
0100000US,,United States,,3152,Cut & sew apparel mfg,,2006,155269,3,119206,4725043,3869842,855201,2,2280079,220878,11050740,1,6036979,3041230,1786130,81019,10,186401,1689083,105383,4,,0,12694541,1,23610212,1,18706187,4904025,4754688,,,500203,2971809,2,1720794,3,457577,3,793438,2,2879250,1638140,447298,793812,265889,5,84039,181851,7965,33945,139941
0100000US,,United States,,3152,Cut & sew apparel mfg,,2005,168056,2,127577,4732544,4035617,696927,2,2390982,241870,11736139,1,6596363,2856134,2087829,84376,7,195813,1918613,111436,3,,89,12525564,1,24337177,1,19679347,4657830,4410475,226613,20742,820963,3078459,2,1783849,3,455481,2,839129,1,3263061,1844013,512927,906121,359494,5,135202,224291,11836,31143,181313
0100000US,,United States,,31521,Cut and sew apparel contractors,,2006,68092,5,58581,1573612,1317368,256244,4,987829,105428,1524923,5,1011741,172097,258867,46590,8,82218,581034,35629,10,,0,4062891,3,5418912,3,5138466,280446,201861,69292,9293,39865,593123,6,303734,8,132658,9,156731,6,409604,203620,90017,115967,99239,12,54022,45216,2925,2399,39893
0100000US,,United States,,31521,Cut and sew apparel contractors,,2005,68835,5,57936,1510689,1309170,201519,4,949916,108517,1318203,8,795533,156526,294186,44760,5,71957,488263,27197,10,,89,3082477,3,4320684,4,4048539,272145,176099,83360,12686,37288,463498,6,241325,9,98845,6,123328,5,401726,204722,87297,109707,99014,11,45013,54000,7257,3116,43627
0100000US,,United States,,31521M,Cut and sew apparel contractors,,2006,68092,5,58581,1573612,1317368,256244,4,987829,105428,1524923,5,1011741,172097,258867,46590,8,82218,581034,35629,10,,0,4062891,3,5418912,3,5138466,280446,201861,69292,9293,39865,593123,6,303734,8,132658,9,156731,6,409604,203620,90017,115967,99239,12,54022,45216,2925,2399,39893
0100000US,,United States,,31521M,Cut and sew apparel contractors,,2005,68835,5,57936,1510689,1309170,201519,4,949916,108517,1318203,8,795533,156526,294186,44760,5,71957,488263,27197,10,,89,3082477,3,4320684,4,4048539,272145,176099,83360,12686,37288,463498,6,241325,9,98845,6,123328,5,401726,204722,87297,109707,99014,11,45013,54000,7257,3116,43627
0100000US,,United States,,31522,Men's and boys' cut and sew apparel manufacturing,,2006,32297,5,25802,919640,738572,181068,5,481183,47642,2320209,4,1508063,465686,309394,10304,9,37067,428073,26763,6,0,0,2500155,3,4839173,3,4058086,781088,773795,,6557,,815959,3,473069,4,116968,4,225922,3,847483,493406,124034,230043,51537,7,10473,41064,1720,4422,34923
0100000US,,United States,,31522,Men's and boys' cut and sew apparel manufacturing,,2005,40205,3,32011,1107514,893727,213787,3,583449,60259,3348526,3,2017792,842411,430066,18819,1,58258,705019,39439,2,0,0,3433292,2,6728842,2,5334089,1394753,1309377,81428,3948,569298,1091097,2,687422,3,128941,4,274734,2,1066560,618609,153373,294578,104523,4,39905,64618,1738,4837,58044
0100000US,,United States,,31522M,Men's and boys' cut and sew apparel manufacturing,,2006,32297,5,25802,919640,738572,181068,5,481183,47642,2320209,4,1508063,465686,309394,10304,9,37067,428073,26763,6,0,0,2500155,3,4839173,3,4058086,781088,773795,,6557,,815959,3,473069,4,116968,4,225922,3,847483,493406,124034,230043,51537,7,10473,41064,1720,4422,34923
0100000US,,United States,,31522M,Men's and boys' cut and sew apparel manufacturing,,2005,40205,3,32011,1107514,893727,213787,3,583449,60259,3348526,3,2017792,842411,430066,18819,1,58258,705019,39439,2,0,0,3433292,2,6728842,2,5334089,1394753,1309377,81428,3948,569298,1091097,2,687422,3,128941,4,274734,2,1066560,618609,153373,294578,104523,4,39905,64618,1738,4837,58044
0100000US,,United States,,31523,Women's and girls' cut and sew apparel manufacturing,,2006,40219,3,24564,1771660,1433028,338632,3,602561,47743,6505542,2,3069280,2257254,1132303,13289,6,46705,496912,33415,3,0,0,5210601,2,11750823,2,8169012,3581811,3521499,58115,2197,181754,1140076,3,660377,5,175458,3,304241,3,1214809,670533,203014,341263,103963,3,15872,88091,3068,25569,59453
0100000US,,United States,,31523,Women's and girls' cut and sew apparel manufacturing,,2005,44808,3,27420,1699513,1477399,222114,3,653734,53430,6415829,1,3334209,1729896,1303537,12402,4,48187,554164,35786,3,0,0,5175907,2,11788219,1,9002166,2786053,2723627,60007,2419,181976,1178851,3,623363,5,205745,2,349743,2,1437988,783014,245608,409366,128203,4,48535,79668,2256,20772,56640
0100000US,,United States,,31523M,Women's and girls' cut and sew apparel manufacturing,,2006,40219,3,24564,1771660,1433028,338632,3,602561,47743,6505542,2,3069280,2257254,1132303,13289,6,46705,496912,33415,3,0,0,5210601,2,11750823,2,8169012,3581811,3521499,58115,2197,181754,1140076,3,660377,5,175458,3,304241,3,1214809,670533,203014,341263,103963,3,15872,88091,3068,25569,59453
0100000US,,United States,,31523M,Women's and girls' cut and sew apparel manufacturing,,2005,44808,3,27420,1699513,1477399,222114,3,653734,53430,6415829,1,3334209,1729896,1303537,12402,4,48187,554164,35786,3,0,0,5175907,2,11788219,1,9002166,2786053,2723627,60007,2419,181976,1178851,3,623363,5,205745,2,349743,2,1437988,783014,245608,409366,128203,4,48535,79668,2256,20772,56640
0100000US,,United States,,31529,Other cut and sew apparel manufacturing,,2006,14661,7,10259,460131,380875,79256,10,208506,20065,700065,6,447895,146193,85566,10836,62,20411,183064,9576,6,0,0,920893,7,1601303,6,1340622,260680,257534,,,,422652,7,283615,9,32492,7,106545,5,407354,270581,30233,106539,11151,5,3672,7479,252,1555,5672
0100000US,,United States,,31529,Other cut and sew apparel manufacturing,,2005,14208,7,10210,414827,355321,59506,11,203883,19664,653580,7,448828,127301,60041,8396,62,17410,171168,9015,6,0,0,833889,9,1499432,8,1294553,204879,201373,1817,1689,32401,345013,8,231738,11,21950,10,91325,5,356788,237668,26649,92471,27754,36,1750,26004,585,2418,23002
0100000US,,United States,,31529M,Other cut and sew apparel manufacturing,,2006,14661,7,10259,460131,380875,79256,10,208506,20065,700065,6,447895,146193,85566,10836,62,20411,183064,9576,6,0,0,920893,7,1601303,6,1340622,260680,257534,,,,422652,7,283615,9,32492,7,106545,5,407354,270581,30233,106539,11151,5,3672,7479,252,1555,5672
0100000US,,United States,,31529M,Other cut and sew apparel manufacturing,,2005,14208,7,10210,414827,355321,59506,11,203883,19664,653580,7,448828,127301,60041,8396,62,17410,171168,9015,6,0,0,833889,9,1499432,8,1294553,204879,201373,1817,1689,32401,345013,8,231738,11,21950,10,91325,5,356788,237668,26649,92471,27754,36,1750,26004,585,2418,23002
0100000US,,United States,,3159,Apparel accessories & other apparel mfg,,2006,17252,6,13321,541810,444138,97672,7,263511,23903,994344,6,708535,243307,27419,5202,8,15083,165908,9881,5,0,0,914756,6,1926749,6,1597066,329683,332130,,,42652,315474,6,182564,8,37046,12,95864,6,347341,183393,50424,113524,23388,13,1636,21752,1420,2946,17386
0100000US,,United States,,3159,Apparel accessories & other apparel mfg,,2005,18793,5,13806,539212,460773,78439,8,255532,25682,1155546,6,857723,236868,43898,5806,6,17057,192910,11250,8,0,0,1179591,5,2280346,5,1953292,327055,329740,,,26520,407177,6,217100,6,54169,18,135908,6,329323,167277,45758,116287,31771,9,17872,13899,195,4270,9434
0100000US,,United States,,31599,Apparel accessories and other apparel manufacturing,,2006,17252,6,13321,541810,444138,97672,7,263511,23903,994344,6,708535,243307,27419,5202,8,15083,165908,9881,5,0,0,914756,6,1926749,6,1597066,329683,332130,,,42652,315474,6,182564,8,37046,12,95864,6,347341,183393,50424,113524,23388,13,1636,21752,1420,2946,17386
0100000US,,United States,,31599,Apparel accessories and other apparel manufacturing,,2005,18793,5,13806,539212,460773,78439,8,255532,25682,1155546,6,857723,236868,43898,5806,6,17057,192910,11250,8,0,0,1179591,5,2280346,5,1953292,327055,329740,,,26520,407177,6,217100,6,54169,18,135908,6,329323,167277,45758,116287,31771,9,17872,13899,195,4270,9434
0100000US,,United States,,31599M,Apparel accessories and other apparel manufacturing,,2006,17252,6,13321,541810,444138,97672,7,263511,23903,994344,6,708535,243307,27419,5202,8,15083,165908,9881,5,0,0,914756,6,1926749,6,1597066,329683,332130,,,42652,315474,6,182564,8,37046,12,95864,6,347341,183393,50424,113524,23388,13,1636,21752,1420,2946,17386
0100000US,,United States,,31599M,Apparel accessories and other apparel manufacturing,,2005,18793,5,13806,539212,460773,78439,8,255532,25682,1155546,6,857723,236868,43898,5806,6,17057,192910,11250,8,0,0,1179591,5,2280346,5,1953292,327055,329740,,,26520,407177,6,217100,6,54169,18,135908,6,329323,167277,45758,116287,31771,9,17872,13899,195,4270,9434
