GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,PAYANN_S,EMPAVPW,EMPAVPW_S,HOURS,HOURS_S,PAYANPW,PAYANPW_S,CSTMTOT,CSTMTOT_S,RCPTOT,RCPTOT_S,VALADD,VALADD_S,CEXTOT,CEXTOT_S
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,Number of employees,Relative standard error for estimate of number of employees (%),"Annual payroll ($1,000)",Relative standard error for estimate of annual payroll (%),Production workers average for year,Relative standard error for estimate of production workers average for year (%),"Production workers annual hours (1,000)",Relative standard error for estimate of production workers annual hours (%),"Production workers annual wages ($1,000)",Relative standard error for estimate of production workers annual wages (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials (%),"Total value of shipments and receipts for services ($1,000)",Relative standard error for estimate of total value of shipments and receipts for services (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Total capital expenditures ($1,000)",Relative standard error for estimate of total capital expenditures (%)
0100000US,,United States,,31-33,Manufacturing,,2014,11021476,0.1,618871167,0.1,7741568,0.1,15842183,0.1,350929006,0.1,3486762403,0.1,5880890398,0.1,2400062882,0.1,173310168,0.4
0100000US,,United States,,31-33,Manufacturing,,2013,11091721,0.1,604064534,0.1,7756977,0.1,15760041,0.1,341602352,0.1,3463506989,0.1,5809744541,0.1,2356025285,0.1,176369397,0.4
0400000US01,01,Alabama,,31-33,Manufacturing,,2014,234726,0.4,11759599,0.2,177480,0.4,368374,0.4,7589257,0.3,88920920,0.2,135668827,0.2,46819390,0.3,5015074,0.9
0400000US01,01,Alabama,,31-33,Manufacturing,,2013,233754,0.3,11451955,0.3,176465,0.3,363600,0.4,7453392,0.3,81665057,0.1,128976244,0.1,47901170,0.3,3507760,0.8
0400000US01,01,Alabama,,31-33,Manufacturing,,2012,232650,,11099489,,175971,,357518,,7194937,,79061668,,124809759,,45798257,,4074287,
0400000US02,02,Alaska,,31-33,Manufacturing,,2014,12933,1.3,552105,0.8,10464,1.6,21316,1.9,379436,1.3,4968247,0.9,6899305,0.7,1856177,1.5,102491,4.0
0400000US02,02,Alaska,,31-33,Manufacturing,,2013,11773,1.9,523550,1.7,9541,2.4,20386,1.7,370414,2.2,5793592,0.9,7448865,1.3,1729782,2.9,109688,6.7
0400000US02,02,Alaska,,31-33,Manufacturing,,2012,12450,,514519,,10031,,20596,,353624,,6198781,,,,1376073,,138149,
0400000US04,04,Arizona,,31-33,Manufacturing,,2014,134860,1.0,8956139,0.8,81320,1.2,164795,1.2,3893613,1.0,25685011,0.4,53234150,0.4,27582838,0.6,2269429,0.9
0400000US04,04,Arizona,,31-33,Manufacturing,,2013,136698,1.0,8843171,0.3,79209,1.0,160191,0.9,3738150,0.6,25807795,0.4,52302097,0.3,26259772,0.4,2725895,0.9
0400000US04,04,Arizona,,31-33,Manufacturing,,2012,131941,,8193179,,76016,,150911,,3311551,,23494145,,51243473,,28153138,,1650238,
0400000US05,05,Arkansas,,31-33,Manufacturing,,2014,148672,0.4,6543555,0.4,119521,0.5,244735,0.4,4671151,0.5,36010070,0.5,62224298,0.5,26507140,1.1,1806983,1.2
0400000US05,05,Arkansas,,31-33,Manufacturing,,2013,151143,0.5,6380976,0.4,122899,0.6,248029,0.8,4544363,0.4,36967561,0.5,62349025,0.4,25304286,0.4,1729471,6.1
0400000US05,05,Arkansas,,31-33,Manufacturing,,2012,153706,,6290843,,120271,,240875,,4403909,,39505109,,62712925,,23366566,,1875436,
0400000US06,06,California,,31-33,Manufacturing,,2014,1111812,0.4,69487378,0.3,703679,0.4,1419529,0.4,31622880,0.4,283593864,0.2,530914615,0.2,245681365,0.3,14057421,1.2
