GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,PAYANN_S,BENEFIT,BENEFIT_S,BENHEA,BENHEA_S,BENPEB,BENPEB_S,BENPEC,BENPEC_S,BENOTH,BENOTH_S,EMPAVPW,EMPAVPW_S,HOURS,HOURS_S,PAYANPW,PAYANPW_S,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTMPRT_S,CSTRSL,CSTRSL_S,CSTFU,CSTFU_S,CSTELEC,CSTELEC_S,CSTCNT,CSTCNT_S,ELECPCH,ELECPCH_S,ELECGEN,ELECGEN_S,ELECSLD,ELECSLD_S,RCPTOT,RCPTOT_S,RCPTPLM,RCPTPLM_S,RCPTRAN,RCPTRAN_S,MSCTOT,MSCTOT_S,MSCRSLTT,MSCRSLTT_S,MSCCNTTT,MSCCNTTT_S,MSCOTH,MSCOTH_S,VALADD,VALADD_S,INVTOTB,INVTOTB_S,INVFINB,INVFINB_S,INVWIPB,INVWIPB_S,INVMATB,INVMATB_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,CEXTOT,CEXTOT_S,CEXBLD,CEXBLD_S,CEXMCH,CEXMCH_S,CEXMCHA,CEXMCHA_S,CEXMCHC,CEXMCHC_S,CEXMCHO,CEXMCHO_S,RPTOT,RPTOT_S,RPBLD,RPBLD_S,RPMCH,RPMCH_S,PCHTT,PCHTT_S,PCHTEMP,PCHTEMP_S,PCHCMPQ,PCHCMPQ_S,PCHEXSO,PCHEXSO_S,PCHDAPR,PCHDAPR_S,PCHCSVC,PCHCSVC_S,PCHRPR,PCHRPR_S,PCHRFUS,PCHRFUS_S,PCHADVT,PCHADVT_S,PCHPRTE,PCHPRTE_S,PCHTAX,PCHTAX_S,PCHOEXP,PCHOEXP_S
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,Number of employees,Relative standard error for estimate of number of employees (%),"Annual payroll ($1,000)","Relative standard error for estimate of annual payroll ($1,000)","Total fringe benefits ($1,000)",Relative standard error for estimate of total fringe benefits (%),"Employer's cost for health insurance ($1,000)",Relative standard error for estimate of employer's cost for health insurance (%),"Employer's cost for defined benefit pension plans ($1,000)",Relative standard error for estimate of employer's cost for defined benefit pension plans (%),"Employer's cost for defined contribution plans ($1,000)",Relative standard error for estimate of employer's cost for defined contribution plans (%),"Employer's cost for other fringe benefits ($1,000)",Relative standard error for estimate of employer's cost for other fringe benefits (%),Production workers average for year,Relative standard error for estimate of production workers average for year (%),"Production workers annual hours (1,000)",Relative standard error for estimate of production workers annual hours (%),"Production workers annual wages ($1,000)",Relative standard error for estimate of production workers annual wages (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials (%),"Cost of materials, parts, containers, packaging, etc. used ($1,000)","Relative standard error for estimate of cost of materials, parts, containers, packaging, etc. used  (%)","Cost of resales ($1,000)",Relative standard error for estimate of cost of resales (%),"Cost of purchased fuels consumed ($1,000)",Relative standard error for estimate of cost of purchased fuels (%),"Cost of purchased electricity ($1,000)",Relative standard error for estimate of cost of purchased electricity (%),"Cost of contract work ($1,000)",Relative standard error for estimate of cost of contract work (%),"Quantity of electricity purchased for heat and power (1,000 kWh)",Relative standard error for estimate of quantity of electricity purchased for heat and power (%),"Quantity of generated electricity (1,000 kWh)",Relative standard error for estimate of quantity of generated electricity (%),"Quantity of electricity sold or transferred (1,000 kWh) ",Relative standard error for estimate of quantity of electricity sold or transferred (%),"Total value of shipments and receipts for services ($1,000)",Relative standard error for estimate of total value of shipments and receipts for services (%),"Value of primary and secondary product shipments and receipts for services made in industry ($1,000) ",Relative standard error for estimate of value of primary and secondary product shipments and receipts for services made in industry (%),"Value of interplant transfers for shipments and receipts for services ($1,000)",Relative standard error for estimate of value of interplant transfers for shipments and receipts for services (%),"Total miscellaneous receipts ($1,000)",Relative standard error for estimate of total miscellaneous receipts (%),"Value of resales ($1,000)",Relative standard error for estimate of value of resales (%),"Contract receipts ($1,000)",Relative standard error for estimate of contract receipts (%),"Other miscellaneous receipts ($1,000)",Relative standard error for estimate of other miscellaneous receipts (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Total inventories, beginning of year ($1,000) ","Relative standard error for estimate of total inventories, beginning of year (%)","Finished goods inventories, beginning of year ($1,000)","Relative standard error for estimate of finished goods inventories, beginning of year (%)","Work-in-process inventories, beginning of year ($1,000) ","Relative standard error for estimate of work-in-process inventories, beginning of year (%)","Materials and supplies inventories, beginning of year ($1,000) ","Relative standard error for estimate of materials and supplies inventories, beginning of year (%)","Total inventories, end of year ($1,000)","Relative standard error for estimate of total inventories, end of year (%)","Finished goods inventories, end of year ($1,000)","Relative standard error for estimate of finished goods inventories, end of year (%)","Work-in-process inventories, end of year ($1,000)","Relative standard error for estimate of work-in-process inventories, end of year (%)","Materials and supplies inventories, end of year ($1,000)","Relative standard error for estimate of materials and supplies inventories, end of year (%)","Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%),"Capital expenditures on buildings and other structures (new and used) ($1,000)",Relative standard error of buildings and other structures (new and used) (%),"Capital expenditures on machinery and equipment (new and used) ($1,000)",Relative standard error of machinery and equipment (new and used) (%),"Capital expenditures on automobiles, trucks, etc. for highway use ($1,000)","Relative standard error of automobiles, trucks, etc. for highway use (%)","Capital expenditures on computers and peripheral data processing equipment ($1,000)",Relative standard error of computers and peripheral data processing equipment (%),"Capital expenditures on all other machinery and equipment ($1,000)",Relative standard error of all other expenditures for machinery and equipment (%),"Total rental payments or lease payments ($1,000) ",Relative standard error for estimate of total rental payments or lease payments (%),"Rental payments or lease payments for buildings and other structures ($1,000)",Relative standard error for estimate of rental payments or lease payments for buildings and other structures (%),"Rental payments or lease payments for machinery and equipment rentals ($1,000)",Relative standard error for estimate of rental payments or lease payments for machinery and equipment rentals (%),"Total other operating expenses ($1,000)",Relative standard error for estimate of total other operating expenses (%),"Temporary staff and leased employee expenses ($1,000)",Relative standard error for estimate of temporary staff and leased employee expenses (%),"Expensed computer hardware and other equipment ($1,000)",Relative standard error for estimate of expensed computer hardware and other equipment (%),"Expensed purchases of software ($1,000)",Relative standard error for estimate of expensed purchases of software (%),"Data processing and other purchased computer services ($1,000)",Relative standard error for estimate of data processing and other purchased computer services (%),"Communication services ($1,000)",Relative standard error for estimate of communication services (%),"Repair and maintenance services of buildings and/or machinery ($1,000)",Relative standard error for estimate of repair and maintenance services of buildings and/or machinery (%),"Refuse removal (including hazardous waste) services ($1,000) ",Relative standard error for estimate of refuse removal (including hazardous waste) services (%),"Advertising and promotional services ($1,000) ",Relative standard error for estimate of advertising and promotional services (%),"Purchased professional and technical services ($1,000)",Relative standard error for estimate of purchased professional and technical services (%),"Taxes and license fees ($1,000)",Relative standard error for estimate of taxes and license fees (%),"All other operating expenses ($1,000)",Relative standard error for estimate of all other operating expenses (%)
0100000US,,United States,,31-33,Manufacturing,,2013,11082237,0.1,602878129,0.1,186177964,0.1,72726625,0.1,16722489,0.3,19676817,0.1,77052034,0.1,7747486,0.1,15736107,0.1,340634768,0.1,3456983065,0.1,3135558957,0.1,177519783,0.3,37580571,0.1,51131943,0.1,55191812,0.3,788008935,0.1,116734637,0.1,33251093,0.1,5846767820,0.1,5563972498,0.1,332508887,0.3,282795322,0.2,221977559,0.2,21086509,1.2,39731254,0.9,2398391759,0.1,605372494,0.1,216436841,0.2,184083605,0.2,204852049,0.2,619459513,0.1,219868169,0.2,189121680,0.1,210469664,0.1,172991920,0.4,32781865,0.8,140210055,0.4,2406181,3.0,5132720,0.8,132671154,0.4,35231011,0.2,24597519,0.3,10633493,0.3,372132355,0.1,31999807,0.3,3788933,0.4,3001101,0.4,5878941,0.4,4781315,0.5,46217792,0.1,13736304,0.2,13093204,0.3,30112278,0.2,17812933,0.2,201709747,0.2
0100000US,,United States,,311,Food manufacturing,,2013,1372158,0.1,55651411,0.1,16993526,0.1,7185857,0.1,1262451,0.3,1386725,0.7,7158493,0.2,1083732,0.2,2199512,0.2,37950994,0.1,491859294,0.2,461736303,0.2,18546833,0.4,4039743,0.2,5583404,0.1,1953010,0.8,77094188,0.2,3382701,0.2,326001,0.8,760811230,0.1,736649064,0.1,45433099,1.1,24162166,0.4,22198469,0.4,1151261,5.4,812436,3.0,269172726,0.2,51079925,0.2,27559754,0.2,5399178,0.7,18120993,0.3,51621838,0.2,27843822,0.3,5518229,0.8,18259787,0.5,15743862,0.7,3421956,1.1,12321906,0.7,252181,2.0,297709,1.9,11772016,0.8,3463840,0.8,2082862,0.8,1380978,1.0,38212309,0.3,3276275,0.6,154989,1.0,94303,1.9,181248,1.8,284558,1.1,4876560,0.3,2248919,0.3,2269232,0.8,1963251,0.7,1519578,0.6,21343397,0.4
0100000US,,United States,,3111,Animal food manufacturing,,2013,43655,0.4,2243421,0.3,642825,0.7,267700,0.9,43262,1.7,69390,1.2,262473,0.7,29763,0.5,63722,0.6,1368966,0.5,44328521,0.3,38782027,0.4,4758203,0.6,207317,0.6,313137,0.4,267837,0.5,4153778,0.4,,,0,,60716313,0.2,55454887,0.2,2979753,2.2,5261426,0.6,5182316,0.6,13298,3.3,65813,13.9,16605294,0.8,3170590,1.6,1307191,1.6,315376,6.8,1548023,2.1,3179821,2.2,1457955,0.4,299949,2.3,1421917,5.0,1127020,1.7,372632,3.1,754389,1.9,36655,6.0,19394,16.9,698339,2.0,154927,0.8,79382,1.0,75545,0.9,1978834,0.7,138894,0.5,9023,1.9,6056,3.9,6140,2.5,20259,0.7,296250,1.1,57639,2.5,143847,0.9,94274,0.8,92101,0.7,1114351,1.2
0100000US,,United States,,31111,Animal food manufacturing,,2013,43655,0.4,2243421,0.3,642825,0.7,267700,0.9,43262,1.7,69390,1.2,262473,0.7,29763,0.5,63722,0.6,1368966,0.5,44328521,0.3,38782027,0.4,4758203,0.6,207317,0.6,313137,0.4,267837,0.5,4153778,0.4,,,0,,60716313,0.2,55454887,0.2,2979753,2.2,5261426,0.6,5182316,0.6,13298,3.3,65813,13.9,16605294,0.8,3170590,1.6,1307191,1.6,315376,6.8,1548023,2.1,3179821,2.2,1457955,0.4,299949,2.3,1421917,5.0,1127020,1.7,372632,3.1,754389,1.9,36655,6.0,19394,16.9,698339,2.0,154927,0.8,79382,1.0,75545,0.9,1978834,0.7,138894,0.5,9023,1.9,6056,3.9,6140,2.5,20259,0.7,296250,1.1,57639,2.5,143847,0.9,94274,0.8,92101,0.7,1114351,1.2
0100000US,,United States,,311111,Dog and cat food manufacturing,,2013,16963,0.8,974189,0.6,287785,1.0,122667,1.3,24752,1.1,30626,0.5,109739,1.3,12419,1.0,27637,1.3,653972,0.8,13175502,0.3,10090992,0.4,,,81891,0.4,113807,0.6,,,1528147,0.5,0,,0,,23165019,0.4,20185156,0.4,227659,0.1,2979862,0.2,,,1534,0.0,,,10067467,0.6,917210,3.6,472933,4.2,38540,4.1,405737,3.2,1008139,0.4,535627,0.4,40377,0.9,432135,0.4,453020,2.6,103885,3.3,349136,2.7,3346,5.1,11003,26.9,334786,2.7,47831,1.7,25583,2.3,22248,1.4,1024146,0.8,79729,0.7,4054,2.3,3299,2.6,2883,2.8,8600,0.7,136041,1.9,33843,4.2,121321,0.9,59002,1.1,45666,0.8,529709,1.8
0100000US,,United States,,311119,Other animal food manufacturing,,2013,26692,0.3,1269233,0.4,355040,0.9,145033,1.2,18510,3.7,38764,2.1,152734,0.7,17344,0.5,36085,0.6,714994,0.5,31153019,0.5,28691035,0.5,,,125426,1.0,199330,0.5,,,2625631,0.6,,,0,,37551294,0.3,35269730,0.3,2752094,2.4,2281564,1.4,,,11764,3.7,,,6537826,1.8,2253380,1.6,834258,0.9,276836,7.7,1142286,2.7,2171682,3.3,922328,0.6,259572,2.7,989782,7.1,674000,2.2,268747,4.0,405253,2.6,33309,6.6,8391,17.0,363553,2.9,107096,0.8,53799,1.0,53297,1.2,954688,1.0,59164,0.9,4969,2.9,2758,8.0,3257,4.0,11659,1.2,160209,1.1,23796,1.3,22527,2.3,35272,1.2,46434,1.1,584642,1.5
0100000US,,United States,,3112,Grain and oilseed milling,,2013,52009,0.5,3003632,0.4,1057705,0.3,439121,0.4,161716,0.4,91716,0.3,365153,0.4,38347,0.7,82128,0.7,2047256,0.3,74334651,0.2,71089004,0.2,1164733,1.1,880641,0.2,990355,0.3,209918,1.8,16518517,0.2,,,150450,0.0,103588735,0.2,102152055,0.2,17930763,0.5,1436680,3.1,1249809,1.0,126727,33.8,60144,2.2,29029318,0.3,6931900,0.5,3080224,0.5,346356,4.5,3505320,0.7,6732363,0.3,2808665,0.4,398313,0.4,3525385,0.7,1693419,0.9,364843,2.3,1328576,1.0,7309,11.4,35776,1.2,1285491,1.0,229669,0.6,101292,1.2,128378,0.6,2700746,0.5,109807,5.0,17502,1.3,9962,3.8,23471,2.9,21735,0.7,558185,0.6,243519,1.5,43205,5.3,136685,1.3,156795,0.5,1379879,0.5
0100000US,,United States,,31121,Flour milling and malt manufacturing,,2013,15491,0.6,814276,0.5,257336,0.7,109257,0.9,29288,1.8,22205,0.6,96586,0.7,11439,0.7,24936,0.4,535359,0.5,14426825,0.7,13662699,0.7,331586,0.9,79039,2.2,316352,0.8,37149,0.9,5387543,0.4,,,,,20655032,0.5,20291550,0.5,2036960,0.2,363482,1.0,,,,,2113,28.2,6242497,1.0,2303487,1.3,585590,1.3,118898,13.0,1598999,1.5,2121608,0.9,595079,0.7,130378,0.3,1396150,1.4,384900,2.3,72182,9.3,312718,2.1,3641,21.1,9893,2.7,299185,2.2,72960,1.9,38337,3.1,34622,1.8,796514,1.2,39528,13.8,4246,5.4,,,,,6830,1.1,141232,1.5,32577,1.0,25216,2.5,28110,1.4,50282,0.8,460796,0.9
0100000US,,United States,,311211,Flour milling,,2013,10465,0.5,572983,0.7,179885,1.0,77120,1.2,17036,3.1,15680,0.8,70049,0.9,7594,0.6,17243,0.5,378127,0.6,10777071,0.9,10275983,0.9,241289,1.3,36683,4.2,198459,1.3,24657,1.3,2914720,0.7,,,,,15390278,0.7,15130785,0.7,,,259493,1.4,258344,1.4,,,,,4619909,0.8,1550140,1.7,261225,2.4,36265,42.6,1252650,1.7,1324465,1.0,270456,0.9,35057,1.1,1018952,1.3,260284,1.9,46853,13.9,213431,1.4,,,,,208046,1.4,56660,2.2,29400,3.5,27260,2.2,539420,1.8,19788,27.6,3421,4.7,2636,14.3,4015,16.2,4526,1.5,99776,2.1,11886,2.7,5112,12.4,21015,1.8,35198,1.1,332046,1.2
